tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
AX6	Northern Minnesota	AX6-1:AX6-2:AX6-3	AX6-1b:AX6-2b:AX6-3b	    7.0 	mt	  286.2 	   29.2 	   308 	3	3 	3 	0 	t	2.9935 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    7.7 	    4.3 	   22.3 	  177.7 
AX7	Northern Minnesota	AX7-1:AX7-2	AX7-1b:AX7-2b	   10.3 	mt	  286.0 	   30.0 	   586 	2	2 	2 	0 	t	1.9983 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	   11.4 	    6.3 	   22.5 	  178.2 
AX7	Northern Minnesota	AX7-1:AX7-2	AX7-1b:AX7-2b	   10.3 	mt	  286.0 	   30.0 	   586 	2	2 	2 	0 	t	1.9983 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	   11.4 	    6.3 	   22.5 	  178.2 
AX8	Northern Minnesota	AX8-1:AX8-2:AX8-3	AX8-1b:AX8-2b:AX8-3b	    9.7 	mt	  281.7 	   31.7 	   163 	3	3 	3 	0 	t	2.9877 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   10.9 	    6.1 	   20.4 	  182.2 
AX8	Northern Minnesota	AX8-1:AX8-2:AX8-3	AX8-1b:AX8-2b:AX8-3b	    9.7 	mt	  281.7 	   31.7 	   163 	3	3 	3 	0 	t	2.9877 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	   10.9 	    6.1 	   20.4 	  182.2 
AX9	Northern Minnesota	AX9-1	AX9-1b		mt	292.8	27.7		1	1	1	0	t		0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  196.6 	  107.4 	   26.2 	  172.0 
AX9	Northern Minnesota	AX9-1	AX9-1b		mt	292.8	27.7		1	1	1	0	t		100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  196.6 	  107.4 	   26.2 	  172.0 
BD1	Northern Minnesota	BD1-10:BD1-11:BD1-12:BD1-13:BD1-14:BD1-15:BD1-1:BD1-2:BD1-3:BD1-4:BD1-5:BD1-6:BD1-7:BD1-8:BD1-9	BD1-10a:BD1-11a:BD1-12a:BD1-13a:BD1-14a:BD1-15a:BD1-1a:BD1-2a:BD1-3a:BD1-4a:BD1-5a:BD1-6a:BD1-7a:BD1-8a:BD1-9a	    1.5 	mc	  293.1 	   40.9 	   623 	15	15 	15 	0 	t	14.9775 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    1.8 	    1.1 	   32.4 	  179.0 
BD1	Northern Minnesota	BD1-10:BD1-11:BD1-12:BD1-13:BD1-14:BD1-15:BD1-1:BD1-2:BD1-3:BD1-4:BD1-5:BD1-6:BD1-7:BD1-8:BD1-9	BD1-10a:BD1-11a:BD1-12a:BD1-13a:BD1-14a:BD1-15a:BD1-1a:BD1-2a:BD1-3a:BD1-4a:BD1-5a:BD1-6a:BD1-7a:BD1-8a:BD1-9a	    1.5 	mc	  293.1 	   40.9 	   623 	15	15 	15 	0 	t	14.9775 	100	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	    1.8 	    1.1 	   32.4 	  179.0 
BD2	Northern Minnesota	BD2-1:BD2-2:BD2-3:BD2-4:BD2-5:BD2-6:BD2-7:BD2-8	BD2-1a:BD2-2a:BD2-3a:BD2-4a:BD2-5a:BD2-6a:BD2-7a:BD2-8a	    5.0 	mc	  286.6 	   22.7 	   122 	8	8 	8 	0 	t	7.9428 	0	47.2	-91.4		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    5.3 	    2.8 	   19.9 	  174.6 
