tab 	specimens
analysts	citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
	This study	mt	2.3	279.1	18.9	1.4	1	12	0	AX11-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 14:58:22	u	Anorthosite	858	818	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX11-2	pmagpy-4.2.24-1: demag_gui	AX11-2b
	This study	mt	2.3	226	68	1.4	1	12	-1	AX11-2b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 14:58:22	u	Anorthosite	858	818	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX11-2	pmagpy-4.2.24-1: demag_gui	AX11-2b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX11-4		AX11-4b
	This study	mt	1.6	286.2	35.9	1.1	1	12	100	AX11-4b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 14:59:51	u	Anorthosite	858	818	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX11-4	pmagpy-4.2.24-1: demag_gui	AX11-4b
	This study	mt	1.6	288.9	23.9	1.1	1	12	0	AX11-4b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 14:59:51	u	Anorthosite	858	818	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX11-4	pmagpy-4.2.24-1: demag_gui	AX11-4b
	This study	mt	1.6	186.1	67	1.1	1	12	-1	AX11-4b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 14:59:51	u	Anorthosite	858	818	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX11-4	pmagpy-4.2.24-1: demag_gui	AX11-4b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX11-4		AX11-4b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX11-5		AX11-5b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX11-5		AX11-5b
	This study	mt	1.1	276.5	39.6	1.3	1	15	100	AX11-5b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:01:17	u	Anorthosite	918	823	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX11-5	pmagpy-4.2.24-1: demag_gui	AX11-5b
	This study	mt	1.1	280.8	28.4	1.3	1	15	0	AX11-5b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:01:17	u	Anorthosite	918	823	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX11-5	pmagpy-4.2.24-1: demag_gui	AX11-5b
	This study	mt	1.1	201.7	69	1.3	1	15	-1	AX11-5b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:01:17	u	Anorthosite	918	823	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX11-5	pmagpy-4.2.24-1: demag_gui	AX11-5b
	This study	mt	1.1	283.3	22.2	1.3	1	17	0	AX11-6b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:02:41	u	Anorthosite	918	813	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX11-6	pmagpy-4.2.24-1: demag_gui	AX11-6b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX11-6		AX11-6b
	This study	mt	1.1	280.1	33.7	1.3	1	17	100	AX11-6b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:02:41	u	Anorthosite	918	813	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX11-6	pmagpy-4.2.24-1: demag_gui	AX11-6b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX11-6		AX11-6b
	This study	mt	1.1	190.9	74.5	1.3	1	17	-1	AX11-6b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:02:41	u	Anorthosite	918	813	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX11-6	pmagpy-4.2.24-1: demag_gui	AX11-6b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX11-7		AX11-7b
	This study	mt	1.2	163.5	78.2	3	1	12	-1	AX11-7b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:04:05	u	Anorthosite	888	828	K	LP-DIR-T:DE-BFL:DA-DIR	g	AX11-7	pmagpy-4.2.24-1: demag_gui	AX11-7b
	This study	mt	1.2	290.4	21.3	3	1	12	0	AX11-7b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:04:05	u	Anorthosite	888	828	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	AX11-7	pmagpy-4.2.24-1: demag_gui	AX11-7b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX11-7		AX11-7b
	This study	mt	1.2	288.1	33.4	3	1	12	100	AX11-7b_LP-DIR-T	Intrusive:Igneous	Not Specified	hargrave 2019-12-06 15:04:05	u	Anorthosite	888	828	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	AX11-7	pmagpy-4.2.24-1: demag_gui	AX11-7b
Yiming Zhang	This study										Intrusive:Igneous	Not Specified			Anorthosite				LP-NOMAG	g	AX11-8		AX11-8b
Yiming Zhang	This study										Igneous:Intrusive	Not Specified			Anorthosite				LP-NOMAG	g	AX11-8		AX11-8b
