specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,correction,s_tensor,aniso_type,NLT_beta
BD1-11b,BD1-11,BD1,1.03e-06,2.3199984926037573e-06,6.636933596104105e-07,-7.528123446573122e-07,-2.3169958597418098e-07,-1.1371666856592109e-06,1.3834196078263315e-06,-1.4749220736676873e-06,8.806842167111468e-09,1.832904861128932e-08,3e-05,IZ,803.0,1,,,
BD1-11b,BD1-11,BD1,2.21e-07,4.2647507886868124e-06,1.4321471760399207e-07,-1.5039026891656192e-07,-7.558645167497278e-08,-3.5108739239381274e-07,3.7883935564917395e-07,-4.233357730586706e-06,1.88962341643848e-09,3.698573764388843e-08,3e-05,ZI,813.0,1,,,
BD1-11b,BD1-11,BD1,1.62e-07,5.461575743211458e-06,-6.763971006042206e-08,1.4571728150157672e-07,-2.086488664556517e-08,-1.6850099472037101e-07,1.1839172416530569e-07,-5.457691857668698e-06,1.3851538165748132e-09,4.696175603278461e-08,3e-05,IZ,823.0,1,,,
BD1-11b,BD1-11,BD1,1.7699999999999998e-07,7.976264404011287e-06,-1.0042365041840069e-07,1.4503016948943837e-07,1.4503116027517243e-08,8.655529036872337e-08,-1.4420623708459424e-07,-7.974490992257287e-06,1.5134087995909994e-09,6.807746845710761e-08,3e-05,ZI,826.0,1,,,
BD1-11b,BD1-11,BD1,1.94e-07,8.568912290285641e-06,-1.325205007137057e-07,1.1890384489138598e-07,-7.704669078314742e-08,-6.270499822934755e-08,9.118381281724179e-08,-8.568197677113051e-06,1.658764447009344e-09,7.397897237437475e-08,3e-05,IZ,829.0,1,,,
BD1-11b,BD1-11,BD1,4.01e-06,1.8370556151492394e-07,-2.209992572302565e-06,2.9866335499032615e-06,1.508659295188856e-06,6.344786693071733e-08,-1.4998520308346882e-07,-8.500906051395997e-08,3.428683212632716e-08,3.174310829650613e-08,3e-05,P,373.0,1,,,
BD1-11b,BD1-11,BD1,3.15e-06,1.1906256701294653e-07,-1.6059075599232921e-06,2.4540839837393733e-06,1.1493618706635018e-06,-2.02013703571792e-09,1.1662718508536536e-07,2.3872863446458067e-08,2.6933546433399144e-08,2.120482385867615e-08,3e-05,P,573.0,1,,,
BD1-11b,BD1-11,BD1,2.38e-06,5.306934868226914e-07,-1.2640449979788107e-06,1.8255128103325056e-06,8.567924033257218e-07,-2.609713452882778e-07,4.5297263794013446e-07,9.135274036397818e-08,2.0349790638568242e-08,2.1268951350184243e-08,3e-05,P,698.0,1,,,
BD1-11b,BD1-11,BD1,1.47e-06,2.911672921283817e-06,-7.558220560022205e-07,1.1247818792629269e-06,5.696479120845913e-07,-1.728473828093377e-06,2.2199439948899236e-06,7.497106679818752e-07,1.2568988335586266e-08,1.3894289826753527e-08,3e-05,P,748.0,1,,,
BD1-11b,BD1-11,BD1,1.63e-06,2.7970274039376164e-06,1.0181194349525758e-06,-1.1507746819726964e-06,-5.441051805510466e-07,-4.0553348458396595e-07,5.250202931100605e-07,-2.7172152257562916e-06,1.3937041487758922e-08,2.4197440129053833e-08,3e-05,P,793.0,1,,,
BD1-11b,BD1-11,BD1,2.21e-07,7.13306199053443e-06,1.4321471760399207e-07,-1.5039026891656192e-07,-7.558645167497278e-08,-1.7265780115415685e-07,-1.5647567344694613e-07,-7.129255080871139e-06,1.88962341643848e-09,6.087836527168314e-08,3e-05,P,813.0,1,,,
BD1-11b,BD1-11,BD1,1.7699999999999998e-07,9.806388923616959e-06,-1.0042365041840069e-07,1.4503016948943837e-07,1.4503116027517243e-08,-1.0541304012080024e-07,6.463591415275182e-08,-9.805609313592476e-06,1.5134087995909994e-09,8.422077218062908e-08,3e-05,P,826.0,1,,,
BD1-12b,BD1-12,BD1,1.84e-06,0.0,-7.178273824914824e-07,1.3500369558020147e-06,1.0235839325205606e-06,0.0,0.0,0.0,1.9665764062481915e-08,0.0,3e-05,ZI,273.0,1,,,
BD1-12b,BD1-12,BD1,1.83e-06,2.3496862937342776e-07,-6.760685054928984e-07,1.3739526241633994e-06,1.002040698991367e-06,1.387844134342265e-07,-1.2037491585721148e-07,-1.4648898596725356e-07,1.5647107927974743e-08,2.0840722200266493e-08,3e-05,ZI,373.0,1,,,
BD1-12b,BD1-12,BD1,1.43e-06,3.043459486593264e-08,-5.161064215207578e-07,1.101769232201457e-06,7.514244610333429e-07,2.010359192961922e-08,2.281972551244402e-08,-1.1705911829129828e-09,1.2226975047543104e-08,1.7352119248494526e-08,3e-05,IZ,473.0,1,,,
BD1-12b,BD1-12,BD1,1.39e-06,1.4491454948637596e-07,-6.035893976185184e-07,1.0125306343208101e-06,7.365877772841549e-07,1.1047553326078292e-07,-2.3497231578665936e-08,-9.079241880093018e-08,1.188496175949994e-08,1.6156508266442547e-08,3e-05,ZI,573.0,1,,,
BD1-12b,BD1-12,BD1,1.1e-06,6.235551275149358e-08,-4.288554696644622e-07,8.203248536137476e-07,5.942643525254205e-07,2.3429187867437446e-08,5.709801117296132e-08,-8.89383193378341e-09,9.405365421187003e-09,1.3483795263360228e-08,3e-05,IZ,673.0,1,,,
BD1-12b,BD1-12,BD1,1.04e-06,6.374224103062196e-08,-3.986887612167108e-07,7.757644283252985e-07,5.664245964156281e-07,-2.851696969037115e-08,3.1086792619460565e-08,-4.778563650218559e-08,8.892345489122258e-09,1.2636280211101526e-08,3e-05,ZI,698.0,1,,,
BD1-12b,BD1-12,BD1,9.21e-07,1.003946090856239e-07,-3.281433206956847e-07,7.134347474209506e-07,4.812211781033888e-07,-3.909628622045814e-09,1.0023616662041426e-07,-4.062417843780371e-09,7.874855957193845e-09,1.1624178985862245e-08,3e-05,IZ,723.0,1,,,
BD1-12b,BD1-12,BD1,7.170000000000001e-07,1.6817691777060122e-07,-2.710667370801858e-07,5.274388264351214e-07,4.030137819199777e-07,-5.426868383049469e-08,1.5771597866436548e-07,-2.1541952095081467e-08,6.130588188173711e-09,9.501608354636496e-09,3e-05,ZI,748.0,1,,,
BD1-12b,BD1-12,BD1,4.05e-08,7.279299340647653e-07,3.780137177119093e-08,7.2793968303111635e-09,-1.2582395400044638e-08,-3.2362154158513254e-07,6.056639353569039e-07,2.415000706782175e-07,3.462884541437033e-10,6.114750510568163e-09,3e-05,IZ,773.0,1,,,
BD1-12b,BD1-12,BD1,3.1e-07,9.215383958140577e-07,1.389133295396915e-07,-1.8103537568197777e-07,-2.0983155060162482e-07,-2.2842500552411638e-07,4.1917733029453064e-07,-7.882546527474509e-07,2.6506029823345187e-09,9.197073726266048e-09,3e-05,ZI,793.0,1,,,
BD1-12b,BD1-12,BD1,1.42e-07,1.2417859938846652e-06,6.173253221321979e-08,-7.026866684356176e-08,-1.0684291706319286e-07,-1.2605915920891538e-07,2.5603288204081065e-07,-1.2085481812081566e-06,1.2141471725532313e-09,1.1436573537698654e-08,3e-05,IZ,803.0,1,,,
BD1-12b,BD1-12,BD1,4.3300000000000004e-08,2.5530185876336685e-06,9.742401426669382e-10,2.3244665619597685e-08,-3.651884960369795e-08,-2.1248696327221556e-08,4.1451202740300096e-08,-2.5525936220829955e-06,3.7022938430672475e-10,2.2148454959163563e-08,3e-05,ZI,813.0,1,,,
BD1-12b,BD1-12,BD1,6.5e-08,3.10788503961483e-06,-2.6833488324310198e-08,5.807298948005629e-08,-1.1510508120772914e-08,2.1138701585545008e-08,7.0187207973463295e-09,-3.1078052243207456e-06,5.557715930701411e-10,2.6682825126752983e-08,3e-05,IZ,823.0,1,,,
BD1-12b,BD1-12,BD1,7.7e-08,4.018982193669757e-06,-3.8484880955285675e-08,6.559589149035536e-08,-1.2045453808097778e-08,6.651653676849817e-08,-6.79990521206735e-08,-4.017856337934644e-06,6.583755794830902e-10,3.446412788867592e-08,3e-05,ZI,826.0,1,,,
BD1-12b,BD1-12,BD1,8.339999999999999e-08,4.1440247244841504e-06,-4.859682346957968e-08,4.99732102206606e-08,-4.578850302104418e-08,4.2075719761513085e-08,8.163739101146491e-09,-4.14380307257794e-06,7.130977055699964e-10,3.583298815870473e-08,3e-05,IZ,829.0,1,,,
BD1-12b,BD1-12,BD1,1.83e-06,1.8542246596272446e-07,-6.760685054928984e-07,1.3739526241633994e-06,1.002040698991367e-06,1.7560623829016745e-07,3.100013563042371e-08,-5.08225496032024e-08,1.5647107927974743e-08,1.69296577581366e-08,3e-05,P,373.0,1,,,
BD1-12b,BD1-12,BD1,1.39e-06,8.07977260678602e-08,-6.035893976185184e-07,1.0125306343208101e-06,7.365877772841549e-07,2.4330629769342095e-08,7.704719892311172e-08,-1.4876446696288568e-10,1.188496175949994e-08,6.989896574382157e-09,3e-05,P,573.0,1,,,
BD1-12b,BD1-12,BD1,1.04e-06,2.3230144234536109e-07,-3.986887612167108e-07,7.757644283252985e-07,5.664245964156281e-07,-6.323813870400031e-08,2.1296440084884207e-07,6.790480027275283e-08,8.892345489122258e-09,4.014380968406634e-09,3e-05,P,698.0,1,,,
BD1-12b,BD1-12,BD1,7.170000000000001e-07,6.21308061220883e-07,-2.710667370801858e-07,5.274388264351214e-07,4.030137819199777e-07,-2.64952499499325e-07,5.450147818030334e-07,1.3705023737047857e-07,6.130588188173711e-09,5.027595334234506e-09,3e-05,P,748.0,1,,,
BD1-12b,BD1-12,BD1,3.1e-07,1.922346863857128e-06,1.389133295396915e-07,-1.8103537568197777e-07,-2.0983155060162482e-07,-3.145123931972529e-08,8.892932668755923e-08,-1.920031213126882e-06,2.6506029823345187e-09,1.675865111411502e-08,3e-05,P,793.0,1,,,
BD1-12b,BD1-12,BD1,4.3300000000000004e-08,3.6999155711539535e-06,9.742401426669382e-10,2.3244665619597685e-08,-3.651884960369795e-08,7.671616140018343e-08,-1.095759486817715e-07,-3.697496852698863e-06,3.7022938430672475e-10,3.172173246600344e-08,3e-05,P,813.0,1,,,
BD1-12b,BD1-12,BD1,7.7e-08,4.405745898127629e-06,-3.8484880955285675e-08,6.559589149035536e-08,-1.2045453808097778e-08,3.254499890875492e-08,2.473563013001801e-08,-4.40555625211125e-06,6.583755794830902e-10,3.7792468328769594e-08,3e-05,P,826.0,1,,,
BD1-13b,BD1-13,BD1,6.24e-06,0.0,-2.685111521857213e-06,4.103280503056225e-06,3.858868387031139e-06,0.0,0.0,0.0,6.669259116841694e-08,0.0,3e-05,ZI,273.0,1,,,
BD1-13b,BD1-13,BD1,6.26e-06,5.233054289189809e-07,-2.7119895510128003e-06,4.128609515639554e-06,3.8454253526193845e-06,2.551156568064968e-07,-3.0163512389740714e-07,-3.431921118261085e-07,4.014380968406634e-08,5.4465045648312397e-08,3e-05,ZI,373.0,1,,,
BD1-13b,BD1-13,BD1,5.27e-06,4.173935830882311e-07,-2.1150530786958813e-06,3.6194795512578566e-06,3.193558869400297e-06,-3.5370374706360697e-07,-2.215272902426932e-07,6.0598840026571345e-09,3.379518802476511e-08,4.783897972218645e-08,3e-05,IZ,473.0,1,,,
BD1-13b,BD1-13,BD1,5.24e-06,4.849380701383794e-07,-2.2455576307271456e-06,3.5248194255385225e-06,3.16080985578528e-06,-2.6753932071219825e-08,-3.741817420563347e-07,-3.0730633397304223e-07,3.360280555024083e-08,4.565679244333107e-08,3e-05,ZI,573.0,1,,,
BD1-13b,BD1-13,BD1,4.42e-06,1.5170454159006305e-07,-1.8540494769872892e-06,3.0734929415843083e-06,2.57925215419404e-06,2.296426198583421e-08,1.4979995509959432e-07,6.847193779693054e-09,2.834435124657719e-08,4.054095178424825e-08,3e-05,IZ,673.0,1,,,
BD1-13b,BD1-13,BD1,4.46e-06,2.2310135960132337e-07,-1.8158166088432657e-06,3.1073977058745972e-06,2.634101277584867e-06,1.3900329673908173e-07,-1.909176632777756e-08,-1.7345836563887986e-07,2.860086121260956e-08,3.9684348786328715e-08,3e-05,ZI,698.0,1,,,
BD1-13b,BD1-13,BD1,3.97e-06,2.0447916484614576e-07,-1.6326803248414722e-06,2.793997516671519e-06,2.299746254200435e-06,1.4015996096154234e-09,1.9797931596792835e-07,5.112685031940428e-08,2.5458614128712995e-08,3.678286056927195e-08,3e-05,IZ,723.0,1,,,
BD1-13b,BD1-13,BD1,3.81e-06,1.960670343172564e-07,-1.6053936202411548e-06,2.6404086457787016e-06,2.228688741701291e-06,-1.7969294192447997e-07,7.71259273338752e-08,1.4294051258459539e-08,2.4432574264583504e-08,3.519343375751185e-08,3e-05,ZI,748.0,1,,,
BD1-13b,BD1-13,BD1,2.82e-06,9.313101624268357e-07,-1.098983525569952e-06,2.0156783737189783e-06,1.6375823351048502e-06,-4.1522384545003274e-07,7.615744058510811e-07,3.3901652048500413e-07,1.808395260528228e-08,2.9986237198028244e-08,3e-05,IZ,773.0,1,,,
BD1-13b,BD1-13,BD1,2.09e-06,1.02991831320755e-06,-9.051676969202915e-07,1.415371280672216e-06,1.2431796243103031e-06,-2.757793460428116e-07,4.96744932912645e-07,-8.590238389020973e-07,1.3402645725191475e-08,1.9834478661224972e-08,3e-05,ZI,793.0,1,,,
BD1-13b,BD1-13,BD1,1.44e-06,1.255773418892835e-06,-6.857998818460403e-07,9.543915253170374e-07,8.321149791122476e-07,-4.569747700053179e-07,7.083559108646995e-07,-9.307915140993865e-07,9.234358777165418e-09,1.590827162782304e-08,3e-05,IZ,803.0,1,,,
BD1-13b,BD1-13,BD1,1.43e-06,4.041190192650918e-06,-6.044802732119527e-07,9.636241236197807e-07,8.665634123799667e-07,-2.758643648814119e-07,2.6602825553985505e-07,-4.0229772547978645e-06,9.170231285657326e-09,2.4245704770221004e-08,3e-05,ZI,813.0,1,,,
BD1-13b,BD1-13,BD1,1.32e-06,5.6443255291642635e-06,-6.473606488128723e-07,9.279697278832135e-07,6.798502588812715e-07,-1.5991492833298328e-07,1.5113780848643173e-07,-5.6400350404689524e-06,8.4648288790683e-09,3.4031100919078315e-08,3e-05,IZ,823.0,1,,,
BD1-13b,BD1-13,BD1,1.36e-06,2.7692648691293866e-05,-6.181289442900613e-07,9.969399284823306e-07,6.882059192047826e-07,-1.2964464921362175e-07,-9.011479218924836e-07,-2.7677679025294352e-05,8.721338845100673e-09,1.7336373646054114e-07,3e-05,ZI,826.0,1,,,
BD1-13b,BD1-13,BD1,3.720000000000001e-07,1.8277186101329434e-05,-2.1270983251991555e-07,2.938471087425775e-07,8.241604111444186e-08,-7.132826938587454e-08,4.827843864767562e-08,-1.8276983155131975e-05,2.385542684101067e-09,1.1673641172088433e-07,3e-05,IZ,829.0,1,,,
BD1-13b,BD1-13,BD1,6.26e-06,3.5217401388057006e-07,-2.7119895510128003e-06,4.128609515639554e-06,3.8454253526193845e-06,2.7889417989147094e-07,-1.0468686095056828e-07,-1.8784364141416178e-07,4.014380968406634e-08,4.223864107333072e-08,3e-05,P,373.0,1,,,
BD1-13b,BD1-13,BD1,5.24e-06,4.1511346410755977e-07,-2.2455576307271456e-06,3.5248194255385225e-06,3.16080985578528e-06,3.573641199825571e-07,1.8378740069574384e-07,-1.0407816859444137e-07,3.360280555024083e-08,3.7621461684748014e-08,3e-05,P,573.0,1,,,
BD1-13b,BD1-13,BD1,4.46e-06,3.1361167272172124e-07,-1.8158166088432657e-06,3.1073977058745972e-06,2.634101277584867e-06,4.5568988028405454e-08,3.055874350517367e-07,5.377795213545823e-08,2.860086121260956e-08,3.4543342092359536e-08,3e-05,P,698.0,1,,,
BD1-13b,BD1-13,BD1,3.81e-06,9.266599187235914e-07,-1.6053936202411548e-06,2.6404086457787016e-06,2.228688741701291e-06,-4.6544851511692045e-07,7.114087684005396e-07,3.687192007301686e-07,2.4432574264583504e-08,3.20637457540466e-08,3e-05,P,748.0,1,,,
BD1-13b,BD1-13,BD1,2.09e-06,2.3963932681830775e-06,-9.051676969202915e-07,1.415371280672216e-06,1.2431796243103031e-06,-3.279859709369065e-07,3.730348908412989e-07,-2.3443487088905453e-06,1.3402645725191475e-08,1.8810730842374007e-08,3e-05,P,793.0,1,,,
BD1-13b,BD1-13,BD1,1.43e-06,8.248766247800614e-06,-6.044802732119527e-07,9.636241236197807e-07,8.665634123799667e-07,6.327503751664214e-08,-1.2263007228886585e-07,-8.247611942001897e-06,9.170231285657326e-09,4.89292760206751e-08,3e-05,P,813.0,1,,,
BD1-13b,BD1-13,BD1,1.36e-06,1.750751428880433e-05,-6.181289442900613e-07,9.969399284823306e-07,6.882059192047826e-07,-6.661808105918296e-07,3.40812678111756e-08,-1.7494802032817386e-05,8.721338845100673e-09,1.1094056030900121e-07,3e-05,P,826.0,1,,,
BD1-4b,BD1-4,BD1,8.51e-06,0.0,-1.2374742081697897e-06,-2.10922372283109e-06,8.15106943113363e-06,0.0,0.0,0.0,7.276332703118308e-08,0.0,3e-05,ZI,273.0,1,,,
BD1-4b,BD1-4,BD1,8.39e-06,4.6057270358324085e-07,-1.408191181565029e-06,-1.9742112252917093e-06,8.031910584294043e-06,-4.676761206599062e-08,2.0920507165925182e-07,-4.076435253253364e-07,7.173728716705358e-08,9.888624613879381e-08,3e-05,ZI,373.0,1,,,
BD1-4b,BD1-4,BD1,7.1e-06,4.3210024153888483e-07,-1.046997099859202e-06,-1.8061647760644896e-06,6.786130405068144e-06,-6.48865172296951e-08,-2.25625084130785e-08,-4.2660437390382307e-07,6.070735862766156e-08,8.352851867715609e-08,3e-05,IZ,473.0,1,,,
BD1-4b,BD1-4,BD1,6.76e-06,1.627838883499275e-06,-9.42984862222663e-07,-1.6202102133375836e-06,6.494867082105336e-06,2.472619706109643e-07,-1.0176436931130332e-07,-1.6057287945541804e-06,5.7800245679294665e-08,7.307933468355434e-08,3e-05,ZI,573.0,1,,,
BD1-4b,BD1-4,BD1,3.97e-06,1.656158981164174e-06,-5.485035655892302e-07,-8.846456884151807e-07,3.831115483055077e-06,-4.919300621114346e-07,-5.214196612528513e-07,-1.492979879884775e-06,3.3944818838284e-08,4.2137872731078566e-08,3e-05,IZ,673.0,1,,,
BD1-4b,BD1-4,BD1,4.74e-06,6.921432738125209e-07,-5.557393097454722e-07,-1.1294114084176461e-06,4.569812216069682e-06,-2.482486559654137e-08,-5.566693847995229e-07,4.1056696598599914e-07,4.0528574633114904e-08,6.073246251128584e-08,3e-05,ZI,698.0,1,,,
BD1-4b,BD1-4,BD1,1.66e-06,9.730299577289072e-07,-2.387912365482627e-07,-4.939633978839962e-07,1.5667095796281608e-06,-3.8812794744117027e-07,-5.330950989637466e-07,7.155093364267557e-07,1.4193551453791294e-08,2.6231549653190527e-08,3e-05,IZ,723.0,1,,,
BD1-4b,BD1-4,BD1,1.13e-06,2.2625282610801847e-06,-1.6444895081010125e-07,-2.930445837865672e-07,1.0788797034381612e-06,4.1453550904328794e-08,-9.704698726917861e-08,-2.260065843635075e-06,9.661875387219375e-09,1.440775376032542e-08,3e-05,ZI,748.0,1,,,
BD1-4b,BD1-4,BD1,1.4e-07,4.16893818938176e-06,-1.0122862279391828e-07,-6.350059537060902e-08,-7.29413484576807e-08,-1.7199668757483298e-07,-1.6414215101263506e-07,-4.162153303352712e-06,1.1970465081510732e-09,3.635862256904211e-08,3e-05,IZ,773.0,1,,,
BD1-4b,BD1-4,BD1,7.83e-08,1.0054105631563476e-05,-4.614289185136747e-08,-3.927067910504601e-08,-4.959372232673718e-08,4.048854963427485e-07,4.967920821831035e-07,-1.003365862547495e-05,6.69491011344493e-10,8.636095029815491e-08,3e-05,ZI,793.0,1,,,
BD1-4b,BD1-4,BD1,3.56e-07,1.1451888902397079e-05,-2.6785126750075086e-08,-6.834758776046684e-08,-3.4834919869623315e-07,1.9688759156619362e-07,-5.262321906999043e-09,-1.1450195064587362e-05,3.0439182635841575e-09,1.0093982626228209e-07,3e-05,IZ,803.0,1,,,
BD1-4b,BD1-4,BD1,1.23e-07,1.7587678194884247e-05,-3.848562254825721e-08,3.2317280191702545e-09,-1.1677933374995418e-07,1.8002347682125335e-06,8.145449981451764e-07,-1.7476329577806727e-05,1.0516908607327286e-09,1.513445340950946e-07,3e-05,ZI,813.0,1,,,
BD1-4b,BD1-4,BD1,2.3e-07,1.927177036612049e-05,3.6433905017693066e-09,-2.497453407717043e-08,-2.2861101975469132e-07,3.7884091126791937e-07,3.090324451791381e-07,-1.926556803097838e-05,1.9665764062481916e-09,1.6674307527599648e-07,3e-05,IZ,823.0,1,,,
BD1-4b,BD1-4,BD1,1.2e-07,1.9988052310753293e-05,-2.4884080743224767e-08,-2.802761467913545e-08,-1.1399664618295828e-07,1.7325004019579905e-06,-3.6306873187751934e-07,-1.9909516785461126e-05,1.026039864129491e-09,1.7186474001996318e-07,3e-05,ZI,826.0,1,,,
BD1-4b,BD1-4,BD1,2.02e-07,1.9700481110433662e-05,-2.273433676804021e-08,1.7698198302400216e-08,-1.9993479864337338e-07,8.776591849511463e-07,1.5309954925252743e-06,-1.9621282403030943e-05,1.727167104617977e-09,1.7016037659967592e-07,3e-05,IZ,829.0,1,,,
BD1-4b,BD1-4,BD1,8.39e-06,2.3279915896622238e-07,-1.408191181565029e-06,-1.9742112252917093e-06,8.031910584294043e-06,-1.4382281167707821e-08,-2.471123320483439e-08,2.3103669266436828e-07,7.173728716705358e-08,4.482511656415714e-08,3e-05,P,373.0,1,,,
BD1-4b,BD1-4,BD1,6.76e-06,2.893701406620228e-06,-9.42984862222663e-07,-1.6202102133375836e-06,6.494867082105336e-06,-5.1823940875821e-07,-7.232991023040062e-07,2.753502161700994e-06,5.7800245679294665e-08,4.89292760206751e-08,3e-05,P,573.0,1,,,
BD1-4b,BD1-4,BD1,4.74e-06,3.6984287367929785e-07,-5.557393097454722e-07,-1.1294114084176461e-06,4.569812216069682e-06,-1.1620819139905872e-08,-3.209836750608346e-07,-1.833526332462101e-07,4.0528574633114904e-08,9.405365421187003e-09,3e-05,P,698.0,1,,,
BD1-4b,BD1-4,BD1,1.13e-06,6.727756398283758e-06,-1.6444895081010125e-07,-2.930445837865672e-07,1.0788797034381612e-06,-3.239185379760487e-07,-4.0063617281247616e-08,-6.719834658827094e-06,9.661875387219375e-09,4.347843924248718e-08,3e-05,P,748.0,1,,,
BD1-4b,BD1-4,BD1,7.83e-08,1.538239672192285e-05,-4.614289185136747e-08,-3.927067910504601e-08,-4.959372232673718e-08,-3.133018020193243e-07,7.277285491520393e-07,-1.5361978454945942e-05,6.69491011344493e-10,1.3253014911672595e-07,3e-05,P,793.0,1,,,
BD1-4b,BD1-4,BD1,1.23e-07,1.9588221511892612e-05,-3.848562254825721e-08,3.2317280191702545e-09,-1.1677933374995418e-07,9.71428013300246e-07,5.878121359205296e-07,-1.9555286408202068e-05,1.0516908607327286e-09,1.6844154436125816e-07,3e-05,P,813.0,1,,,
BD1-4b,BD1-4,BD1,1.2e-07,1.8897940259441323e-05,-2.4884080743224767e-08,-2.802761467913545e-08,-1.1399664618295828e-07,1.3184881530001324e-06,1.0416006769755196e-06,-1.8823092282341273e-05,1.026039864129491e-09,1.624563118205028e-07,3e-05,P,826.0,1,,,
BD1-5b,BD1-5,BD1,1.0800000000000002e-05,0.0,-1.3082464480978695e-06,-3.3211770924739623e-06,1.0193050277098879e-05,0.0,0.0,0.0,9.234358777165422e-08,0.0,3e-05,ZI,273.0,1,,,
BD1-5b,BD1-5,BD1,1.07e-05,6.123411665899967e-07,-1.637507079695196e-06,-3.2137885974488505e-06,1.0073734829488806e-05,-1.3105864956449483e-08,2.3600401982809302e-07,-5.64882326887222e-07,9.148855455154629e-08,1.2580906617615986e-07,3e-05,ZI,373.0,1,,,
BD1-5b,BD1-5,BD1,9.29e-06,4.109459052653998e-07,-1.2945007809762878e-06,-2.9350261675683824e-06,8.718600181436275e-06,-1.3334455470065494e-07,-5.851383143301828e-08,-3.842810147757905e-07,7.943258614802478e-08,1.1041687263536905e-07,3e-05,IZ,473.0,1,,,
BD1-5b,BD1-5,BD1,8.95e-06,1.744509310402071e-06,-1.113646263217143e-06,-2.756371225444932e-06,8.44184278863103e-06,-7.248854703921961e-09,2.3346525888111333e-08,-1.7443380199703113e-06,7.65254731996579e-08,9.886081039818863e-08,3e-05,ZI,573.0,1,,,
BD1-5b,BD1-5,BD1,6.01e-06,1.6879860579610486e-06,-6.092126601512065e-07,-1.9321757064694338e-06,5.658237974320348e-06,-4.598642369384613e-07,-6.615992657479813e-07,-1.4832761802906494e-06,5.138749652848535e-08,6.7010279582857e-08,3e-05,IZ,673.0,1,,,
BD1-5b,BD1-5,BD1,4.46e-06,2.122610617112193e-06,-3.327867436537426e-07,-1.5929602935652953e-06,4.152508938746876e-06,-6.18145122296264e-07,-1.019703535572198e-06,1.756011713856232e-06,3.8134481616812754e-08,6.76138840229946e-08,3e-05,ZI,698.0,1,,,
