tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_int_uT	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_int_mad	specimen_int_dang	specimen_scat
AX11-5a	200	566	30	1.00	-1.00	-	75.4	1.600e+01	8.199e-01	8.000e+00	4.530e-02	3.225e+00	8.682e-01	t
AX11-5a	200	570	30	1.00	-1.00	-	75.7	1.700e+01	8.663e-01	8.000e+00	4.075e-02	3.010e+00	7.771e-01	t
AX11-5a	200	575	30	1.00	-1.00	-	75.4	1.800e+01	8.699e-01	9.000e+00	3.721e-02	2.848e+00	7.055e-01	t
AX11-5a	200	580	30	1.00	-1.00	-	75.5	1.900e+01	8.856e-01	9.000e+00	3.432e-02	2.708e+00	6.956e-01	t
AX11-5a	200	585	30	1.00	-1.00	-	75.4	2.000e+01	8.891e-01	1.000e+01	3.196e-02	2.600e+00	6.653e-01	t
AX11-5a	300	555	30	1.00	-1.00	-	74.7	1.100e+01	6.209e-01	6.000e+00	8.184e-02	5.178e+00	2.667e+00	t
AX11-5a	300	560	30	1.00	-1.00	-	77.9	1.200e+01	7.309e-01	6.000e+00	6.731e-02	4.406e+00	1.714e+00	t
AX11-5a	300	562	30	1.00	-1.00	-	73.8	1.300e+01	7.352e-01	7.000e+00	6.124e-02	3.957e+00	1.275e+00	t
AX11-5a	300	564	30	1.00	-1.00	-	75.0	1.400e+01	7.858e-01	7.000e+00	5.378e-02	3.608e+00	9.485e-01	t
AX11-5a	300	566	30	1.00	-1.00	-	74.4	1.500e+01	7.883e-01	8.000e+00	4.777e-02	3.357e+00	7.885e-01	t
AX11-5a	300	570	30	1.00	-1.00	-	74.8	1.600e+01	8.347e-01	8.000e+00	4.292e-02	3.129e+00	7.107e-01	t
AX11-5a	300	575	30	1.00	-1.00	-	74.5	1.700e+01	8.383e-01	9.000e+00	3.910e-02	2.959e+00	6.476e-01	t
AX11-5a	300	580	30	1.00	-1.00	-	74.6	1.800e+01	8.539e-01	9.000e+00	3.602e-02	2.814e+00	6.470e-01	t
AX11-5a	300	585	30	1.00	-1.00	-	74.5	1.900e+01	8.574e-01	1.000e+01	3.350e-02	2.701e+00	6.232e-01	t
AX11-5a	400	560	30	1.00	-1.00	-	76.7	1.100e+01	6.735e-01	6.000e+00	7.434e-02	3.863e+00	1.553e+00	t
AX11-5a	400	562	30	1.00	-1.00	-	72.6	1.200e+01	6.777e-01	7.000e+00	6.667e-02	3.464e+00	1.175e+00	t
AX11-5a	400	564	30	1.00	-1.00	-	74.0	1.300e+01	7.284e-01	7.000e+00	5.852e-02	3.150e+00	9.549e-01	t
AX11-5a	400	566	30	1.00	-1.00	-	73.4	1.400e+01	7.309e-01	8.000e+00	5.173e-02	2.928e+00	8.493e-01	t
AX11-5a	400	570	30	1.00	-1.00	-	73.9	1.500e+01	7.773e-01	8.000e+00	4.640e-02	2.724e+00	8.271e-01	t
AX11-5a	400	575	30	1.00	-1.00	-	73.7	1.600e+01	7.808e-01	9.000e+00	4.215e-02	2.576e+00	7.826e-01	t
AX11-5a	400	580	30	1.00	-1.00	-	73.8	1.700e+01	7.965e-01	9.000e+00	3.877e-02	2.451e+00	7.769e-01	t
AX11-5a	400	585	30	1.00	-1.00	-	73.8	1.800e+01	8.000e-01	1.000e+01	3.599e-02	2.354e+00	7.598e-01	t
AX11-5a	425	560	30	1.00	-1.00	-	77.7	1.000e+01	6.429e-01	6.000e+00	8.382e-02	3.367e+00	1.552e+00	t
AX11-5a	425	562	30	1.00	-1.00	-	73.0	1.100e+01	6.471e-01	7.000e+00	7.498e-02	3.030e+00	1.228e+00	t
AX11-5a	425	564	30	1.00	-1.00	-	74.4	1.200e+01	6.978e-01	7.000e+00	6.540e-02	2.755e+00	1.089e+00	t
AX11-5a	425	566	30	1.00	-1.00	-	73.9	1.300e+01	7.003e-01	8.000e+00	5.763e-02	2.565e+00	1.015e+00	t
AX11-5a	425	570	30	1.00	-1.00	-	74.3	1.400e+01	7.467e-01	8.000e+00	5.150e-02	2.385e+00	1.012e+00	t
AX11-5a	425	575	30	1.00	-1.00	-	74.1	1.500e+01	7.503e-01	9.000e+00	4.666e-02	2.259e+00	9.695e-01	t
AX11-5a	425	580	30	1.00	-1.00	-	74.2	1.600e+01	7.659e-01	9.000e+00	4.283e-02	2.155e+00	9.484e-01	t
AX11-5a	425	585	30	1.00	-1.00	-	74.1	1.700e+01	7.694e-01	1.000e+01	3.970e-02	2.073e+00	9.294e-01	t
AX11-5a	450	560	30	1.00	-1.00	-	77.0	9.000e+00	6.118e-01	6.000e+00	9.673e-02	3.296e+00	1.222e+00	t
AX11-5a	450	562	30	1.00	-1.00	-	72.1	1.000e+01	6.160e-01	7.000e+00	8.515e-02	2.944e+00	9.793e-01	t
AX11-5a	450	564	30	1.00	-1.00	-	73.7	1.100e+01	6.666e-01	7.000e+00	7.401e-02	2.661e+00	9.419e-01	t
AX11-5a	450	566	30	1.00	-1.00	-	73.1	1.200e+01	6.692e-01	8.000e+00	6.487e-02	2.471e+00	9.192e-01	t
AX11-5a	450	570	30	1.00	-1.00	-	73.7	1.300e+01	7.155e-01	8.000e+00	5.779e-02	2.292e+00	9.532e-01	t
AX11-5a	450	575	30	1.00	-1.00	-	73.4	1.400e+01	7.191e-01	9.000e+00	5.218e-02	2.169e+00	9.304e-01	t
AX11-5a	450	580	30	1.00	-1.00	-	73.6	1.500e+01	7.348e-01	9.000e+00	4.779e-02	2.071e+00	9.086e-01	t
AX11-5a	450	585	30	1.00	-1.00	-	73.6	1.600e+01	7.383e-01	1.000e+01	4.420e-02	1.992e+00	8.986e-01	t
AX11-5a	475	562	30	1.00	-1.00	-	73.9	9.000e+00	6.003e-01	7.000e+00	9.971e-02	2.939e+00	7.900e-01	t
AX11-5a	475	564	30	1.00	-1.00	-	75.6	1.000e+01	6.509e-01	7.000e+00	8.550e-02	2.639e+00	8.801e-01	t
AX11-5a	475	566	30	1.00	-1.00	-	74.8	1.100e+01	6.535e-01	8.000e+00	7.458e-02	2.446e+00	9.091e-01	t
AX11-5a	475	570	30	1.00	-1.00	-	75.2	1.200e+01	6.998e-01	8.000e+00	6.593e-02	2.265e+00	9.674e-01	t
AX11-5a	475	575	30	1.00	-1.00	-	74.9	1.300e+01	7.034e-01	9.000e+00	5.932e-02	2.142e+00	9.578e-01	t
AX11-5a	475	580	30	1.00	-1.00	-	75.0	1.400e+01	7.191e-01	9.000e+00	5.409e-02	2.050e+00	9.240e-01	t
AX11-5a	475	585	30	1.00	-1.00	-	74.9	1.500e+01	7.226e-01	1.000e+01	4.990e-02	1.972e+00	9.184e-01	t
