Data,IDENT,SLAT,SLONG,AGE,IntM,Nint,F,DF,VDM,Comments,AUTHORS,YEAR,JOURNAL,VOL,PAGES,NOTE,MagIC,Ref
2715,SOH-4Flow160,19.28,-155,0.06,T+,2,16.4,3.7,3.7,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2716,SOH-4Flow164,19.28,-155,0.06,T+,4,28.2,4.9,6.4,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2717,SOH-4Flow166,19.28,-155,0.06,T+,2,23.2,4.2,5.3,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2718,SOH-4Flow167,19.28,-155,0.06,T+,1,19.8,&nbsp;,4.5,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2719,SOH-4Flow168,19.28,-155,0.06,T+,2,27.2,8,6.2,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2720,SOH-4Flow170,19.28,-155,0.06,T+,3,23,6.2,5.2,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2721,SOH-4Flow171,19.28,-155,0.06,T+,3,25.9,1.1,5.9,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2722,SOH-4Flow172,19.28,-155,0.06,T+,3,20.9,0.7,4.7,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2723,SOH-4Flow173,19.28,-155,0.06,T+,3,24.1,2,5.5,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2724,SOH-4Flow174,19.28,-155,0.06,T+,4,28.5,5.9,6.5,VADM;VDMc=6;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2782,Kumliscixe,42.45,44.48,0.06,T-,1,26.6,&nbsp;,4.9,VDMc,"Goguitchaichvili,A.,Calvo,M.,Sologashvili,D.,Alva,L.,Urrutia,J.",2000,C.R.Acad.Sci.Paris,331,683-690,&nbsp;,,187
6247,GC14,19.7,-113.7,0.06,T+,1,19.7,&nbsp;,&nbsp;,&nbsp;,"Gee,J.S.,Cande,S.,Hildebrand,J.,DonnellyK.,Parker,R.",2000,Nature,408,827-832,&nbsp;,,503
6248,GC16,19.7,-113.7,0.06,T+,1,4.2,&nbsp;,&nbsp;,&nbsp;,"Gee,J.S.,Cande,S.,Hildebrand,J.,DonnellyK.,Parker,R.",2000,Nature,408,827-832,&nbsp;,,503
6256,GC28,19.7,-113.6,0.06,T+,4,12,0.8,&nbsp;,&nbsp;,"Gee,J.S.,Cande,S.,Hildebrand,J.,DonnellyK.,Parker,R.",2000,Nature,408,827-832,&nbsp;,,503
6282,GC58,17.4,-113.2,0.06,T+,4,24.2,2.3,&nbsp;,&nbsp;,"Gee,J.S.,Cande,S.,Hildebrand,J.,DonnellyK.,Parker,R.",2000,Nature,408,827-832,&nbsp;,,503
6295,GC72,17.4,-113.2,0.06,T+,2,40.8,0.5,&nbsp;,&nbsp;,"Gee,J.S.,Cande,S.,Hildebrand,J.,DonnellyK.,Parker,R.",2000,Nature,408,827-832,&nbsp;,,503
1932,27,19.75,-155.08,0.06,T+,2,15.3,2.4,2.9,"VDMc,replacesref110","Laj,C.,Kissel,C.",1999,J.Geophys.Res.,104,15317-15338,&nbsp;,,139
1933,28,19.75,-155.08,0.06,T+,3,19.9,3.1,3.5,"VDMc,replacesref110","Laj,C.,Kissel,C.",1999,J.Geophys.Res.,104,15317-15338,&nbsp;,,139
1571,3/2/89,9.55,-104.2,0.06,T+,1,15.6,&nbsp;,3.9,VADM,"Mejia,V.,Opdyke,N.D.,Perfit,M.R.",1996,Geophys.Res.Lett.,23,475-478,&nbsp;,,111
1574,2489-9,9.55,-104.2,0.06,T+,2,12.5,0.4,3.1,VADM,"Mejia,V.,Opdyke,N.D.,Perfit,M.R.",1996,Geophys.Res.Lett.,23,475-478,&nbsp;,,111
1400,FLY,50.08,7.02,0.06,T+,6,62,2.7,10.1,"AgeupdatedaccordingtoSingeretal.(2008,PEPI169,28-40)","Schnepp,E.,Hradetzky,H.",1994,J.Geophys.Res.,99,9061-9076,&nbsp;,,97
1428,1,37.8,14.9,0.06,T+,4,50.5,13.3,8.7,VADM,"Tric,E.,Valet,J.P.,Gillot,P.Y.,Lemeur,I.",1994,Phys.EarthPlanet.Interiors,85,113-129,&nbsp;,,99
1696,53,37.7,-118.9,0.06,T+,1,20.6,&nbsp;,4.5,&nbsp;,"Mankinen,E.A.",1994,U.S.Geol.Surv.Open-FileReport,633,17-Jan,&nbsp;,,118
9370,MC37,45.85,3.02,0.07,T+,1,17.7,&nbsp;,3.3,VDM,"Laj,C.,Guillou,H.,Kissel,C.",2014,EarthandPlanetaryScienceLetters,387,184-197,&nbsp;,,688
9163,flow15,19.67,-155,0.07,T+,2,28.4,&nbsp;,6.9,"SameflowsasHSDP1,REF139","LajC.,KisselC.,DaviesC.,GubbinsD.",2011,PhysicsoftheEarthandPlanetaryInteriors,187,170-187,Sameflowsasref139,,680
9052,UZ31,32.74,130.3,0.07,LTD-DHT-S,6,28,6,5.7,NotusedwithinstudyasStandarddeviationofsamplesexceeds15%,"Yamamoto,Y.,Hidetoshi,S.,Hidefumi,T.,Hoshizumi,H.",2010,EarthandPlanetarySceinceLetters,293,236-249,&nbsp;,,667
9086,UZ30,32.73,130.3,0.07,LTD-DHT-S,5,32.8,6.6,8.5,NotusedwithinstudyasStandarddeviationofsamplesexceeds15%,"Yamamoto,Y.,Hidetoshi,S.,Hidefumi,T.,Hoshizumi,H.",2010,EarthandPlanetarySceinceLetters,293,236-249,&nbsp;,,667
8963,mc200,-77.55,166.16,0.07,T+,3,14.3,1.2,1.9,VDMc,"Lawrence,KP.,Tauxe,L.,Staudigel,H.,Constable,CG.,Koppers,A.,McIntosh,W.,Johnson,CL.",2009,"Geochem,Geophys,Geosystems",10,27-Jan,&nbsp;,,663
8525,mc09,-77.55,166.2,0.07,T+,2,27.5,0.6,3.6,"VADM=(3,61+-0,8)x10^22Am^2","TauxeL.,GansP.,MankinenE.A.",2004,"Geochem.,Geophys.,Geosyst.",5,doi:10.1029/2003GC000656,&nbsp;,,639
3070,OT24,35.87,137.55,0.07,T+,3,47.3,11.9,8.4,&nbsp;,"Tanaka,H.,Kobayashi,K.",2003,EarthPlanetsSpace,55,189-202,&nbsp;,,207
3073,OT37,35.9,137.53,0.07,T+,1,25.4,&nbsp;,3.8,&nbsp;,"Tanaka,H.,Kobayashi,K.",2003,EarthPlanetsSpace,55,189-202,&nbsp;,,207
2725,SOH-4Flow177,19.28,-155,0.07,T+,10,23.9,5.5,5.4,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2726,SOH-4Flow178,19.28,-155,0.07,T+,1,24.3,&nbsp;,5.5,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2727,SOH-4Flow179,19.28,-155,0.07,T+,3,24.6,2.2,5.6,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2728,SOH-4Flow180,19.28,-155,0.07,T+,3,20,3.9,4.5,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2729,SOH-4Flow181,19.28,-155,0.07,T+,3,29.9,10.8,6.8,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2730,SOH-4Flow182,19.28,-155,0.07,T+,1,24.1,&nbsp;,5.5,VADM;VDMc=4.6;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2731,SOH-4Flow183,19.28,-155,0.07,T+,4,19.6,3.8,4.5,VADM;VDMc=3.9;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2732,SOH-4Flow184,19.28,-155,0.07,T+,1,33,&nbsp;,7.5,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2733,SOH-4Flow185,19.28,-155,0.07,T+,4,35.8,0.8,8.1,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2734,SOH-4Flow186,19.28,-155,0.07,T+,1,16,&nbsp;,3.6,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2735,SOH-4Flow187,19.28,-155,0.07,T+,3,21,1.4,4.8,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2736,SOH-4Flow188,19.28,-155,0.07,T+,2,33,0.1,7.5,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2737,SOH-4Flow190,19.28,-155,0.07,T+,4,23.8,3.8,5.4,VADM;VDMc=5.9;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2818,Tammar166,21.65,-45.27,0.07,T+,1,37.7,&nbsp;,8.2,VADM,"Ravilly,M.,Horen,H.,Perrin,M.,Dyment,J.,Gente,P.,Guillou,H.",2001,Geophys.J.Int.,145,401-422,&nbsp;,,191
6281,GC57,17.4,-113.2,0.07,T+,3,10,1.4,&nbsp;,&nbsp;,"Gee,J.S.,Cande,S.,Hildebrand,J.,DonnellyK.,Parker,R.",2000,Nature,408,827-832,&nbsp;,,503
1934,29,19.75,-155.08,0.07,T+,3,15,1.9,3.3,"VDMc,replacesref110","Laj,C.,Kissel,C.",1999,J.Geophys.Res.,104,15317-15338,&nbsp;,,139
1935,30,19.75,-155.08,0.07,T+,3,14,1,2.9,"VDMc,replacesref110","Laj,C.,Kissel,C.",1999,J.Geophys.Res.,104,15317-15338,&nbsp;,,139
1741,VU12,38.4,15.3,0.07,T+,2,31,6.4,7.1,&nbsp;,"Laj,C.,Rais,A.,Surmont,J.,Gillot,P.Y.,Guillou,H.,Kissel,C.,Zanella,E.",1997,Phys.EarthPlanet.Interiors,99,161-177,&nbsp;,,121
1520,RE02,-21,55.5,0.07,T+,2,16.4,1.6,3.7,&nbsp;,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1521,RE04,-21,55.5,0.07,T+,1,45.6,&nbsp;,9.9,&nbsp;,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1522,RE04bis,-21,55.5,0.07,T+,1,47,&nbsp;,10.9,VDMc=10.4,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1570,2489-12,9.55,-104.2,0.07,T+,4,8.5,0.2,2.1,VADM,"Mejia,V.,Opdyke,N.D.,Perfit,M.R.",1996,Geophys.Res.Lett.,23,475-478,&nbsp;,,111
1429,2,37.8,14.9,0.07,T+,1,45,&nbsp;,8,VADM,"Tric,E.,Valet,J.P.,Gillot,P.Y.,Lemeur,I.",1994,Phys.EarthPlanet.Interiors,85,113-129,&nbsp;,,99
9164,flow18,19.67,-155,0.08,T+,1,30.2,&nbsp;,6.3,"SameflowsasHSDP1,REF139","LajC.,KisselC.,DaviesC.,GubbinsD.",2011,PhysicsoftheEarthandPlanetaryInteriors,187,170-187,Sameflowsasref139,,680
9165,flow19,19.67,-155,0.08,T+,2,39,&nbsp;,7.9,"SameflowsasHSDP1,REF139","LajC.,KisselC.,DaviesC.,GubbinsD.",2011,PhysicsoftheEarthandPlanetaryInteriors,187,170-187,Sameflowsasref139,,680
9062,UZ44,32.74,130.29,0.08,LTD-DHT-S,5,39.6,4.6,6.8,&nbsp;,"Yamamoto,Y.,Hidetoshi,S.,Hidefumi,T.,Hoshizumi,H.",2010,EarthandPlanetarySceinceLetters,293,236-249,&nbsp;,,667
9080,UZ17,32.7,130.3,0.08,LTD-DHT-S,1,19.1,&nbsp;,3.1,Publishedageisstatedas&lt;0.8Ma.NotusedwithinstudyasNint&lt;3.VGPlatitude&lt;45,"Yamamoto,Y.,Hidetoshi,S.,Hidefumi,T.,Hoshizumi,H.",2010,EarthandPlanetarySceinceLetters,293,236-249,&nbsp;,,667
9081,UZ18,32.71,130.3,0.08,LTD-DHT-S,5,16.9,1.6,4.2,Publishedageisstatedas&lt;0.8Ma.,"Yamamoto,Y.,Hidetoshi,S.,Hidefumi,T.,Hoshizumi,H.",2010,EarthandPlanetarySceinceLetters,293,236-249,&nbsp;,,667
9023,DG,19.38,-100.34,0.08,MSPDp,8,48,3,10.8,VADM,"Michalk,DM.,Biggin,AJ.,Knudsen,MF.,Bohnel,HN.,Nowaczyk,NR.,Ownby,S.,Lopez-Martinez,M.",2010,PhysicsoftheEarthandPlanetaryInteriors,179,139-156,&nbsp;,,666
9024,DF,19.11,-99.93,0.08,MSPDp,8,48,3,11,&nbsp;,"Michalk,DM.,Biggin,AJ.,Knudsen,MF.,Bohnel,HN.,Nowaczyk,NR.,Ownby,S.,Lopez-Martinez,M.",2010,PhysicsoftheEarthandPlanetaryInteriors,179,139-156,&nbsp;,,666
8532,mc39,-78.39,164.21,0.08,T+,2,27.2,1.7,3.5,"VADM=(3,56+-0,22)x10^22Am^2","TauxeL.,GansP.,MankinenE.A.",2004,"Geochem.,Geophys.,Geosyst.",5,doi:10.1029/2003GC000656,&nbsp;,,639
3071,OT33,35.93,137.45,0.08,T+,2,4.9,0.6,0.8,&nbsp;,"Tanaka,H.,Kobayashi,K.",2003,EarthPlanetsSpace,55,189-202,&nbsp;,,207
2738,SOH-4Flow193,19.28,-155,0.08,T+,4,19.6,3.5,4.4,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2739,SOH-4Flow194,19.28,-155,0.08,T+,2,19.9,0.9,4.5,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2740,SOH-4Flow195,19.28,-155,0.08,T+,3,25.9,3.2,5.9,VADM;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2741,SOH-4Flow196,19.28,-155,0.08,T+,6,24.5,1.2,5.6,VADM;VDMc=5;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2742,SOH-4Flow198,19.28,-155,0.08,T+,2,45.4,0.8,10.3,VADM;VDMc=9.7;supercedesref106,"Laj,C.,Kissel,C.,Scao,V.,Beer,J.,Thomas,D.M.,Guillou,H.,Muscheler,R.",2002,Phys.EarthPlanet.Interiors,129,205-243,&nbsp;,,181
2483,GU04,16,-61.7,0.08,T+,4,25.4,3.4,6,weightedFandVADM,"Carlut,J,Quidelleur,X.",2000,Phys.EarthPlanet.Interiors,120,255-269,&nbsp;,,165
2491,GU26-29,16,-61.7,0.08,Tv,5,39.1,4.3,9.3,weightedFandVADM,"Carlut,J,Quidelleur,X.",2000,Phys.EarthPlanet.Interiors,120,255-269,&nbsp;,,165
6257,GC29,19.7,-113.6,0.08,T+,3,12.6,1,&nbsp;,&nbsp;,"Gee,J.S.,Cande,S.,Hildebrand,J.,DonnellyK.,Parker,R.",2000,Nature,408,827-832,&nbsp;,,503
1523,RE07,-21,55.5,0.08,T+,3,29.2,0.6,6.5,VDMc=6,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1524,RE07bis,-21,55.5,0.08,T+,4,33.6,10.3,6.9,&nbsp;,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1525,RE09bis,-21,55.5,0.08,T+,3,43.7,9.6,9.5,VDMc=8.7,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1526,RE10,-21,55.5,0.08,T+,5,47.4,9.2,10.2,&nbsp;,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1527,RE11,-21,55.5,0.08,T+,2,44.6,8.8,10.6,&nbsp;,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1528,RE12,-21,55.5,0.08,T+,4,51,3.5,11.7,VDMc=11.2,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1529,RE13,-21,55.5,0.08,T+,2,34.8,4.9,7.8,&nbsp;,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1530,RE14,-21,55.5,0.08,T+,2,64.4,3,14.2,&nbsp;,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
1531,RE15,-21,55.5,0.08,T+,3,52.5,2.6,11.7,&nbsp;,"Rais,A.,Laj,C.,Surmont,J.,Gillot,P.-J.,Guillou,H.",1996,EarthPlanet.Sci.Letters,140,173-189,&nbsp;,,109
