Data,IDENT,SLAT,SLONG,AGE,IntM,Nint,F,DF,VDM,P,Ndir,INC,DEC,k,a95,AUTHORS,YEAR,JOURNAL,VOL,PAGES,NOTE,MagIC,Ref
9304,BA1f,66.1,-17.2,0.86,T+,2,33.6,&nbsp;,4.7,R,5,-75.2,179.5,3423.9,1.3,"CampsP.,SingerB.S.,CarvalloC.,GogutchaichviliA.,FanjatG.,AllenB.",2011,EarthandPlanetarySceinceLetters,310,33-44,&nbsp;,,682
9305,BA1e,66.1,-17.2,0.86,T+,3,39.1,3.7,5.4,R,4,-76.7,178.4,2813.1,1.7,"CampsP.,SingerB.S.,CarvalloC.,GogutchaichviliA.,FanjatG.,AllenB.",2011,EarthandPlanetarySceinceLetters,310,33-44,&nbsp;,,682
9306,BA1d,66.1,-17.2,0.86,T+,5,40.6,1.8,5.9,R,5,-73.3,178.3,532.7,3.3,"CampsP.,SingerB.S.,CarvalloC.,GogutchaichviliA.,FanjatG.,AllenB.",2011,EarthandPlanetarySceinceLetters,310,33-44,&nbsp;,,682
9307,BA1c,66.1,-17.2,0.86,T+,6,43.2,4.4,6.2,R,6,-73.6,178.6,885.8,2.3,"CampsP.,SingerB.S.,CarvalloC.,GogutchaichviliA.,FanjatG.,AllenB.",2011,EarthandPlanetarySceinceLetters,310,33-44,&nbsp;,,682
9308,BA1b,66.1,-17.2,0.86,T+,5,47.4,1.5,6.8,R,5,-74,184.5,2490.7,1.5,"CampsP.,SingerB.S.,CarvalloC.,GogutchaichviliA.,FanjatG.,AllenB.",2011,EarthandPlanetarySceinceLetters,310,33-44,&nbsp;,,682
9309,BA1a,66.1,-17.2,0.86,T+,3,42.6,1.8,6.1,R,5,-74,185.3,1410.3,2,"CampsP.,SingerB.S.,CarvalloC.,GogutchaichviliA.,FanjatG.,AllenB.",2011,EarthandPlanetarySceinceLetters,310,33-44,&nbsp;,,682
9310,GF3,66.1,-17.2,0.86,T+,4,39.9,5.6,5.6,R,7,-75.8,188.7,323,3.4,"CampsP.,SingerB.S.,CarvalloC.,GogutchaichviliA.,FanjatG.,AllenB.",2011,EarthandPlanetarySceinceLetters,310,33-44,&nbsp;,,682
9311,GF2f,66.1,-17.2,0.86,T+,5,31.3,2.2,4.9,R,6,-67.5,186.2,466,3.1,"CampsP.,SingerB.S.,CarvalloC.,GogutchaichviliA.,FanjatG.,AllenB.",2011,EarthandPlanetarySceinceLetters,310,33-44,&nbsp;,,682
9312,GF2c,66.1,-17.2,0.86,T+,5,43,1.8,6.7,R,6,-67.3,179.9,403,3.3,"CampsP.,SingerB.S.,CarvalloC.,GogutchaichviliA.,FanjatG.,AllenB.",2011,EarthandPlanetarySceinceLetters,310,33-44,&nbsp;,,682
9313,GF2b,66.1,-17.2,0.86,T+,6,35.1,1.2,5.4,R,6,-67.4,181.3,1199.2,1.9,"CampsP.,SingerB.S.,CarvalloC.,GogutchaichviliA.,FanjatG.,AllenB.",2011,EarthandPlanetarySceinceLetters,310,33-44,&nbsp;,,682
9314,GF2a,66.1,-17.2,0.86,T+,5,35.9,1.2,5.6,R,5,-67.1,180.3,834.2,2.7,"CampsP.,SingerB.S.,CarvalloC.,GogutchaichviliA.,FanjatG.,AllenB.",2011,EarthandPlanetarySceinceLetters,310,33-44,&nbsp;,,682
9315,GF1g,66.1,-17.2,0.86,T+,7,31.7,2.5,4.8,R,8,-68.8,185.7,683.9,2.1,"CampsP.,SingerB.S.,CarvalloC.,GogutchaichviliA.,FanjatG.,AllenB.",2011,EarthandPlanetarySceinceLetters,310,33-44,&nbsp;,,682
9316,GF1f,66.1,-17.2,0.86,T+,6,33,2.6,5.2,R,6,-66.7,178.9,852.6,2.3,"CampsP.,SingerB.S.,CarvalloC.,GogutchaichviliA.,FanjatG.,AllenB.",2011,EarthandPlanetarySceinceLetters,310,33-44,&nbsp;,,682
9317,GF1e,66.1,-17.2,0.86,T+,2,32.8,&nbsp;,5,R,6,-69.5,177.6,804.5,2.4,"CampsP.,SingerB.S.,CarvalloC.,GogutchaichviliA.,FanjatG.,AllenB.",2011,EarthandPlanetarySceinceLetters,310,33-44,&nbsp;,,682
9318,GF1d,66.1,-17.2,0.86,T+,3,29.3,2,4.5,R,7,-67.7,180.1,686.1,2.3,"CampsP.,SingerB.S.,CarvalloC.,GogutchaichviliA.,FanjatG.,AllenB.",2011,EarthandPlanetarySceinceLetters,310,33-44,&nbsp;,,682
2357,39.ME24,17.83,-28.67,0.87,T+,3,17.1,1.7,3.4,R,6,-46.8,182.2,187,4.9,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
1715,LS112,17.8,-28.7,0.88,Tv,1,5.5,&nbsp;,1,R,2,-56.4,143.6,&nbsp;,&nbsp;,"Quidelleur,X.,Valet,J.P.",1996,J.Geophys.Res.,101,13755-13773,&nbsp;,,119
1716,LS113/114,17.8,-28.7,0.88,T+,4,5.1,1,0.8,R,11,-70.8,152,55,6.2,"Quidelleur,X.,Valet,J.P.",1996,J.Geophys.Res.,101,13755-13773,&nbsp;,,119
1717,LS118,17.8,-28.7,0.88,T+,2,7.7,1,2,T,6,2.2,206.3,342,3.6,"Quidelleur,X.,Valet,J.P.",1996,J.Geophys.Res.,101,13755-13773,&nbsp;,,119
1718,LS119,17.8,-28.7,0.88,T+,1,33.5,&nbsp;,7.7,R,5,-32,192,214,5.2,"Quidelleur,X.,Valet,J.P.",1996,J.Geophys.Res.,101,13755-13773,&nbsp;,,119
1719,LS120,17.8,-28.7,0.88,T+,2,25.4,4.7,5.8,R,5,-33.1,189.9,90,8.1,"Quidelleur,X.,Valet,J.P.",1996,J.Geophys.Res.,101,13755-13773,&nbsp;,,119
2359,40.ME23,17.83,-28.67,0.88,T+,3,20.7,4.7,4.6,R,4,-36.5,185.5,268,5.6,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
2360,41.ME22,17.83,-28.67,0.88,Tv,3,48.2,2.8,10.1,R,4,-42.6,192.5,501,4.1,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
2361,42.ME20,17.83,-28.67,0.88,T+,3,44.7,3.9,9.8,R,4,-37.3,183.7,1580,2.3,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
2362,42.ME21,17.83,-28.67,0.88,T+,3,47.8,2.8,10.6,R,4,-36.7,188,219,6.2,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
364,UV06,35,139,0.89,T-,1,37,&nbsp;,5.5,R,&nbsp;,-69.3,139.3,&nbsp;,&nbsp;,"Kono,M.",1968,J.Geomag.Geoelect.,20,353-366,&nbsp;,,38
365,UV07,35,139,0.89,T-,3,73,7,13.5,R,&nbsp;,-53.7,152.5,&nbsp;,&nbsp;,"Kono,M.",1968,J.Geomag.Geoelect.,20,353-366,&nbsp;,,38
366,UV08,35,139.1,0.89,T-,1,67,&nbsp;,12.3,R,&nbsp;,-54.2,141.2,&nbsp;,&nbsp;,"Kono,M.",1968,J.Geomag.Geoelect.,20,353-366,&nbsp;,,38
367,UV09,35,139.1,0.89,T-,1,46,&nbsp;,9.5,R,&nbsp;,-43.6,136.1,&nbsp;,&nbsp;,"Kono,M.",1968,J.Geomag.Geoelect.,20,353-366,&nbsp;,,38
368,UV10,35,139.1,0.89,T-,1,84,&nbsp;,17.4,R,&nbsp;,-43.5,134.8,&nbsp;,&nbsp;,"Kono,M.",1968,J.Geomag.Geoelect.,20,353-366,&nbsp;,,38
2363,43.ME19,17.83,-28.67,0.89,T+,5,42.2,9.2,9.4,R,7,-35.6,181.8,246,3.9,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
2364,47.ME15,17.83,-28.67,0.91,Tv,4,13.1,2.5,2.9,R,7,-36.9,197.6,266,3.7,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
2366,50.ME12,17.83,-28.67,0.92,T+,3,27,6.8,6.1,R,4,-33.9,166,107,8.9,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
2367,51.ME11,17.83,-28.67,0.92,T+,3,41.3,3.4,9.1,R,5,-37.1,171.6,135,6.6,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
2368,52.ME10,17.83,-28.67,0.92,T+,3,36.9,0.9,9,R,5,-23.2,197,358,4,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
6669,PU04,-17.65,-149.38,0.92,LTD-DHT-S,5,22.4,0.8,3.7,N,6,-62.3,20.3,&nbsp;,4.1,"Yamamoto,Y.,Tsunakawa,H.",2005,Geophys.J.Int.,162,79-114,&nbsp;,,513
2369,53.ME9,17.83,-28.67,0.93,T+,4,59.1,2.9,13.9,R,5,-28.5,204.2,1099,2.3,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
2370,54.ME8,17.83,-28.67,0.94,T+,6,51,9.9,12.3,R,7,-24,202.9,272,3.7,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
2371,55.ME7,17.83,-28.67,0.94,T+,4,49.9,4.7,12.1,R,5,-23.7,199.9,290,4.5,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
2372,56.ME6,17.83,-28.67,0.94,T+,3,37.9,6.7,9.1,R,4,-26.1,199.1,272,5.6,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
2373,57.ME5,17.83,-28.67,0.95,T+,2,47.4,0.5,10.7,R,5,-33.8,181.2,235,5,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
2374,58.ME4,17.83,-28.67,0.95,T+,3,25.6,3.3,5.7,R,4,-35.4,189.6,108,8.9,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
8550,sr34,43.8859,-112.8,0.95,T+,3,78.5,3.7,15.4,N,8,-48.9,205.4,565,2.4,"TauxeL.,LuskinC.,SelkinP.,GansP.,CalvertA.",2004,"Geochem.,Geophys.,Geosyst.",5,doi:10.1029/2003GC000661,&nbsp;,,640
2375,59.ME3,17.83,-28.67,0.96,T+,2,12.6,0.9,3.2,R,6,-15.6,184.5,76,7.7,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
2377,60.ME2,17.83,-28.67,0.96,Tv,3,29.5,1.2,6,R,4,-44.7,189.1,99,9.3,"Valet,J.P.,Brassart,J.,Quidelleur,X.,Soler,V.,Gillot,P.Y.,Hongre,L.",1999,J.Geophys.Res.,104,7577-7598,&nbsp;,,155
9042,CI,19.3753,-102.983,0.96,MSPDp,8,29,5,5.5,N,13,51.9,15.3,16.1,10.6,"Michalk,DM.,Biggin,AJ.,Knudsen,MF.,Bohnel,HN.,Nowaczyk,NR.,Ownby,S.,Lopez-Martinez,M.",2010,PhysicsoftheEarthandPlanetaryInteriors,179,139-156,&nbsp;,,666
8160,QTW10-1,-36,-71,0.98,M+,1,12.7,&nbsp;,2,R,8,68.2,205.2,393,2.8,"Gratton,M.N.,Shaw,J.,Brown,L.L.",2007,Phys.EarthPlanet.Interiors,162,61-72,&nbsp;,,613
2,Aragats,41,45,1,T-,6,39,24.5,6.9,N,6,57,356,&nbsp;,&nbsp;,"Bagina,O.L.,Minasyan,D.O.,Petrova,G.N.",1976,Izv.Akad.Nauk.(inRussian),2,81-86,&nbsp;,,2
141,1,40,45,1,T-,9,49,6,8.7,N,&nbsp;,61,357,&nbsp;,&nbsp;,"Bol&#39;shakov,A.S.,Solodovnikov,G.M.",1966,Geomag.Aeron.(Eng.Edition),6,574-577,&nbsp;,,10
142,2,40,45,1,T-,3,45,1.7,7.8,R,&nbsp;,-62,174.5,&nbsp;,&nbsp;,"Bol&#39;shakov,A.S.,Solodovnikov,G.M.",1966,Geomag.Aeron.(Eng.Edition),6,574-577,&nbsp;,,10
143,Basargechar,40.2,45.7,1,T-,9,49,6,8.3,N,&nbsp;,61,357,&nbsp;,&nbsp;,"Bol&#39;shakov,A.S.,Solodovnikov,G.M.",1969,"Izv.,EarthPhys.(Eng.Trans.)",5,325-328,&nbsp;,,11
145,Karbi1,40.3,44.4,1,T-,45,43.4,2,8.5,N,&nbsp;,47.5,356,&nbsp;,&nbsp;,"Bol&#39;shakov,A.S.,Solodovnikov,G.M.",1969,"Izv.,EarthPhys.(Eng.Trans.)",5,325-328,&nbsp;,,11
146,Karbi2,40.3,44.4,1,T-,10,46.7,2.5,7.8,N,&nbsp;,60,350.5,&nbsp;,&nbsp;,"Bol&#39;shakov,A.S.,Solodovnikov,G.M.",1969,"Izv.,EarthPhys.(Eng.Trans.)",5,325-328,&nbsp;,,11
222,Brezno,50.4,13.4,1,T-,2,23.3,3.3,4.1,N,&nbsp;,58,6,&nbsp;,&nbsp;,"Bucha,V.,Horacek,J.V.,Rybar,J.",1968,StudiaGeoph.Geod.,12,56-61,&nbsp;,,20
224,Hosnice,50.4,13.4,1,T-,3,19.3,4.6,3.3,N,&nbsp;,61,6,&nbsp;,&nbsp;,"Bucha,V.,Horacek,J.V.,Rybar,J.",1968,StudiaGeoph.Geod.,12,56-61,&nbsp;,,20
225,Kolozulky,50.4,13.4,1,T-,1,49.9,&nbsp;,7.7,N,&nbsp;,68,293,&nbsp;,&nbsp;,"Bucha,V.,Horacek,J.V.,Rybar,J.",1968,StudiaGeoph.Geod.,12,56-61,&nbsp;,,20
227,Necichy,50.4,13.4,1,T-,1,27.6,&nbsp;,4.1,N,&nbsp;,71,355,&nbsp;,&nbsp;,"Bucha,V.,Horacek,J.V.,Rybar,J.",1968,StudiaGeoph.Geod.,12,56-61,&nbsp;,,20
228,Sabenice,50.4,13.4,1,T-,3,38.2,0.3,7.6,N,&nbsp;,47,345,&nbsp;,&nbsp;,"Bucha,V.,Horacek,J.V.,Rybar,J.",1968,StudiaGeoph.Geod.,12,56-61,&nbsp;,,20
230,Tusimice,50.4,13.4,1,T-,2,39.9,2.1,6.5,N,&nbsp;,64,6,&nbsp;,&nbsp;,"Bucha,V.,Horacek,J.V.,Rybar,J.",1968,StudiaGeoph.Geod.,12,56-61,&nbsp;,,20
231,Velno,50.4,13.4,1,T-,26,37.3,9.3,7.2,R,&nbsp;,-50,198,&nbsp;,&nbsp;,"Bucha,V.,Horacek,J.V.,Rybar,J.",1968,StudiaGeoph.Geod.,12,56-61,&nbsp;,,20
232,Zabrusnay,50.4,13.4,1,T-,3,50.8,3.9,9.6,N,&nbsp;,52,22,&nbsp;,&nbsp;,"Bucha,V.,Horacek,J.V.,Rybar,J.",1968,StudiaGeoph.Geod.,12,56-61,&nbsp;,,20
233,Zelesky,50.4,13.4,1,T-,3,42.5,4.3,7.2,N,&nbsp;,61,15,&nbsp;,&nbsp;,"Bucha,V.,Horacek,J.V.,Rybar,J.",1968,StudiaGeoph.Geod.,12,56-61,&nbsp;,,20
242,CA,-17.7,-149.7,1,T+,1,54.3,&nbsp;,12.7,T,&nbsp;,-29.7,10.6,&nbsp;,&nbsp;,"Chauvin,A.,Roperch,P.,Duncan,R.A.",1990,J.Geophys.Res.,95,2727-2752,&nbsp;,,25
243,M2C,-17.7,-149.7,1,T+,2,2.6,0.1,0.5,T,&nbsp;,58,213.5,&nbsp;,&nbsp;,"Chauvin,A.,Roperch,P.,Duncan,R.A.",1990,J.Geophys.Res.,95,2727-2752,&nbsp;,,25
276,CraterLake,43,-122.5,1,T-,2,18,1,3,N,&nbsp;,63,0,&nbsp;,&nbsp;,"Coe,R.S.",1967,J.Geophys.Res.,72,3247-3262,NewmethodologyforThelliertechnique,,27
280,Sacramento,41.1,-121.4,1,T-,3,28,2,4.9,N,&nbsp;,59,335,&nbsp;,&nbsp;,"Coe,R.S.",1967,J.Geophys.Res.,72,3247-3262,NewmethodologyforThelliertechnique,,27
282,SkullCave,41.7,-121.5,1,T-,7,36,4,6.9,N,&nbsp;,51,347,&nbsp;,&nbsp;,"Coe,R.S.",1967,J.Geophys.Res.,72,3247-3262,NewmethodologyforThelliertechnique,,27
552,Kantobasalt,35,139,1,ONR,11,32,&nbsp;,5.5,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Nagata,T.",1943,Bull.Earthq.Res.Inst.,21,1-196,&nbsp;,,52
793,KujuregionDH,33.1,131.2,1,T-,4,49.6,6.5,10.6,R,&nbsp;,-51.2,241.7,&nbsp;,&nbsp;,"Sasajima,S.,Maenaka,K.",1969,J.Geophys.Res.,74,1037-1044,&nbsp;,,64
795,KujuregionK4,33.1,131.2,1,T-,3,63.1,6.1,13.4,N,&nbsp;,29.1,340.1,&nbsp;,&nbsp;,"Sasajima,S.,Maenaka,K.",1969,J.Geophys.Res.,74,1037-1044,&nbsp;,,64
796,KujuregionK7,33.1,131.2,1,T-,5,43.9,6.1,9.3,N,&nbsp;,34.4,323.7,&nbsp;,&nbsp;,"Sasajima,S.,Maenaka,K.",1969,J.Geophys.Res.,74,1037-1044,&nbsp;,,64
797,KujuregionKP,33.1,131.2,1,T-,2,21.5,0.5,4.6,N,&nbsp;,32.8,338.2,&nbsp;,&nbsp;,"Sasajima,S.,Maenaka,K.",1969,J.Geophys.Res.,74,1037-1044,&nbsp;,,64
1022,Gravnoi,45.5,3,1,T-,4,18,&nbsp;,3.1,N,&nbsp;,58.5,347.5,&nbsp;,&nbsp;,"Thellier,E.,Thellier,O.",1959,Ann.Geophys.,15,285-376,Paleointensitymethod(INTMTD=T),,75
1364,Zao01,38.14,140.46,1,T+,2,33.9,3.9,4.7,R,8,-75.7,210.6,&nbsp;,9.1,"Otake,H.,Tanaka,H.,Kono,M.,Saito,K.",1993,J.Geomag.Geoelect.,45,595-612,&nbsp;,,93
1365,Zao02,38.14,140.46,1,T+,5,32.4,4.9,7.1,R,8,-36.2,210.6,&nbsp;,11.8,"Otake,H.,Tanaka,H.,Kono,M.,Saito,K.",1993,J.Geomag.Geoelect.,45,595-612,&nbsp;,,93
1451,Branany-Kankov,50.54,13.72,1,T-,8,27.7,5.2,4.2,N,18,69.9,1.2,12,10.6,"Krsova,M.,Krs,M.,Pruner,P.,Chvojka,R.",1989,StudiaGeoph.Geod.,33,338-361,&nbsp;,,101
1452,Dobrcice,50.48,13.75,1,T-,8,72.4,15,11.3,N,24,67,356.1,38,4.9,"Krsova,M.,Krs,M.,Pruner,P.,Chvojka,R.",1989,StudiaGeoph.Geod.,33,338-361,&nbsp;,,101
1453,Komorany,50.5,13.6,1,T-,8,29.1,1.9,5.1,N,21,58.3,342.7,42,5,"Krsova,M.,Krs,M.,Pruner,P.,Chvojka,R.",1989,StudiaGeoph.Geod.,33,338-361,&nbsp;,,101
1454,Komorany,50.51,13.59,1,T-,2,24,&nbsp;,3.8,N,10,66.1,52.9,28,9.4,"Krsova,M.,Krs,M.,Pruner,P.,Chvojka,R.",1989,StudiaGeoph.Geod.,33,338-361,&nbsp;,,101
1455,Komorany,50.51,13.59,1,T-,6,22.6,&nbsp;,3.8,N,17,61.9,68.9,40,5.7,"Krsova,M.,Krs,M.,Pruner,P.,Chvojka,R.",1989,StudiaGeoph.Geod.,33,338-361,&nbsp;,,101
1456,Komorany,50.5,13.6,1,T-,7,26.3,&nbsp;,4.3,N,14,62.8,340.5,45,6,"Krsova,M.,Krs,M.,Pruner,P.,Chvojka,R.",1989,StudiaGeoph.Geod.,33,338-361,&nbsp;,,101
1457,Most-Lajsnik,50.5,13.67,1,T-,8,28.7,2.4,5.2,R,16,-56.2,202.6,26,7.4,"Krsova,M.,Krs,M.,Pruner,P.,Chvojka,R.",1989,StudiaGeoph.Geod.,33,338-361,&nbsp;,,101
1458,"Most-Lajsnik,newto",50.5,13.66,1,T-,7,31.5,3.3,5.5,R,24,-58.3,219.6,27,5.8,"Krsova,M.,Krs,M.,Pruner,P.,Chvojka,R.",1989,StudiaGeoph.Geod.,33,338-361,&nbsp;,,101
1459,Nechranice,50.35,13.9,1,T-,7,71.9,5.6,11.7,N,17,63.6,16,18,8.5,"Krsova,M.,Krs,M.,Pruner,P.,Chvojka,R.",1989,StudiaGeoph.Geod.,33,338-361,&nbsp;,,101
1460,Necichy-Vrsovice,50.38,13.84,1,T-,8,33.4,7.1,5.2,N,21,66.9,12.2,18,7.7,"Krsova,M.,Krs,M.,Pruner,P.,Chvojka,R.",1989,StudiaGeoph.Geod.,33,338-361,&nbsp;,,101
1461,Svincice,50.5,13.74,1,T-,7,39,9.4,5.5,N,12,75.1,345.6,15,11.6,"Krsova,M.,Krs,M.,Pruner,P.,Chvojka,R.",1989,StudiaGeoph.Geod.,33,338-361,&nbsp;,,101
1462,Tusimice,50.4,13.35,1,T-,10,39.5,6.6,6,N,10,68.7,15.1,16,12.3,"Krsova,M.,Krs,M.,Pruner,P.,Chvojka,R.",1989,StudiaGeoph.Geod.,33,338-361,&nbsp;,,101
1463,Zelenky-Zabrusany,50.6,13.78,1,T-,8,47,12.7,7.6,N,23,64.7,347.7,12,8.9,"Krsova,M.,Krs,M.,Pruner,P.,Chvojka,R.",1989,StudiaGeoph.Geod.,33,338-361,&nbsp;,,101
2523,SRG8,18.38,-94.93,1,T+,3,30.6,4.3,6.4,R,9,-42.6,172.2,166,4.3,"Alva-Valdivia,L.,Goguitchaichvili,A.,UrrutiaFucugauchi,J.",2001,EarthPlanetsSpace,53,873-881,&nbsp;,,170
2536,9,40.2,45.7,1,T-,29,50,5.4,8.3,R,37,-62,175,74,3,"Solodovnikov,G.M.",2000,"Izv.,Phys.SolidEarth(Eng.Trans.)",36,468-475,&nbsp;,,172
2537,10,40.2,45.7,1,T-,31,50,5.6,8.4,R,34,-61,176,76,3,"Solodovnikov,G.M.",2000,"Izv.,Phys.SolidEarth(Eng.Trans.)",36,468-475,&nbsp;,,172
6635,0836a032003,-20,-177,1,T+,2,25.3,7.2,5.6,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6636,0836a037055,-20,-177,1,T+,2,10,4.4,2.2,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6637,0836a037073,-20,-177,1,T+,2,13.4,0.4,3,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6638,0836a04c003,-20,-177,1,T+,1,4.4,&nbsp;,1,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
6639,0836b091100,-20,-177,1,T+,2,41.7,0.3,9.3,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Tauxe,L.",2006,Phys.EarthPlanet.Interiors,156,223-241,&nbsp;,,512
8076,Otuataua,-36.99,174.74,1,LTD-DHT-S,7,23,3.6,4.2,N,16,-55.6,3.4,212.7,2.4,"Mochizuki,N,Tsunakawa,H.,Shibuya,H.,Cassidy,J.,Smith,I.E.M.",2006,Phys.EarthPlanet.Interiors,154,168-179,&nbsp;,,605
8551,sr39,43.575,-111.734,1,T+,2,50.2,1.4,10,R,6,-47.7,187.3,167.5,5.3,"TauxeL.,LuskinC.,SelkinP.,GansP.,CalvertA.",2004,"Geochem.,Geophys.,Geosyst.",5,doi:10.1029/2003GC000661,&nbsp;,,640
369,UV11,35,139.1,1.03,T-,1,51.5,&nbsp;,8.5,N,&nbsp;,62.6,342.7,&nbsp;,&nbsp;,"Kono,M.",1968,J.Geomag.Geoelect.,20,353-366,&nbsp;,,38
370,UV12,35,139.1,1.03,T-,1,46.5,&nbsp;,9.3,N,&nbsp;,46.7,343.2,&nbsp;,&nbsp;,"Kono,M.",1968,J.Geomag.Geoelect.,20,353-366,&nbsp;,,38
371,UV13,35,139.1,1.03,T-,3,54.5,&nbsp;,10.7,N,&nbsp;,49,358.6,&nbsp;,&nbsp;,"Kono,M.",1968,J.Geomag.Geoelect.,20,353-366,&nbsp;,,38
372,UV14,35,139.1,1.03,T-,1,37,&nbsp;,7.2,N,&nbsp;,49.2,354.6,&nbsp;,&nbsp;,"Kono,M.",1968,J.Geomag.Geoelect.,20,353-366,&nbsp;,,38
373,UV16,35,139.1,1.03,T-,1,13.5,&nbsp;,3,N,&nbsp;,36.7,353.1,&nbsp;,&nbsp;,"Kono,M.",1968,J.Geomag.Geoelect.,20,353-366,&nbsp;,,38
374,UV17,35,139.1,1.03,T-,1,84,&nbsp;,16.8,N,&nbsp;,47.1,351.4,&nbsp;,&nbsp;,"Kono,M.",1968,J.Geomag.Geoelect.,20,353-366,&nbsp;,,38
6670,PU05,-17.65,-149.38,1.03,LTD-DHT-S,5,15.1,1.8,3.4,N,7,-33.4,19.9,&nbsp;,6.1,"Yamamoto,Y.,Tsunakawa,H.",2005,Geophys.J.Int.,162,79-114,&nbsp;,,513
2778,Dachbashi,41.59,44.13,1.05,T-,1,51.5,&nbsp;,8.6,R,1,-62,207,&nbsp;,&nbsp;,"Goguitchaichvili,A.,Calvo,M.,Sologashvili,D.,Alva,L.,Urrutia,J.",2000,C.R.Acad.Sci.Paris,331,683-690,&nbsp;,,187
2843,Tammar806,21.7023,-45.3845,1.07,T+,1,30.5,&nbsp;,6.6,O,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,"Ravilly,M.,Horen,H.,Perrin,M.,Dyment,J.,Gente,P.,Guillou,H.",2001,Geophys.J.Int.,145,401-422,&nbsp;,,191
8971,mc229,-77.483,167.154,1.07,T+,3,31.2,3.9,4.5,R,&nbsp;,73,100,346.4,3,"Lawrence,KP.,Tauxe,L.,Staudigel,H.,Constable,CG.,Koppers,A.,McIntosh,W.,Johnson,CL.",2009,"Geochem,Geophys,Geosystems",10,27-Jan,&nbsp;,,663
8942,mc119,-78.239,162.957,1.08,T+,5,41,2,8,R,&nbsp;,49,124.8,864.8,2.3,"Lawrence,KP.,Tauxe,L.,Staudigel,H.,Constable,CG.,Koppers,A.,McIntosh,W.,Johnson,CL.",2009,"Geochem,Geophys,Geosystems",10,27-Jan,&nbsp;,,663
