 Data , IDENT, SLAT, SLONG, AGE , DAGE, AgeMtd  , P, Country , Continent , IntM, Ndir, INC , DEC , k, a95 , Nint, F, DF  , DFPc, VDM , GROUP, TYPE, FORM, ROCKMAG , COMMENTS  , LOCATION NAME , Ref 
2710,SOH-4 Flow 153  ,19.28,-155,0.05,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,24.9,&nbsp;,&nbsp;,&nbsp;,2,29.5,5.4,18,6.7,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2711,SOH-4 Flow 155  ,19.28,-155,0.05,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,4,26.6,&nbsp;,&nbsp;,&nbsp;,2,20.3,0,0,4.6,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2572,45,40.2,45.4,0.05,0.05,Estimated ,N ,Armenia,Europe,T-,30,62,3,44,4,30,48,5.5,11,8,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VDMc  ,&nbsp;,172
2573,46,40.2,45.4,0.05,0.05,Estimated ,N ,Armenia,Europe,T-,41,65,2,125,2,41,48,6.4,13,7.7,Volcanic  ,Tuff  ,Baked contact,&nbsp;,VDMc  ,&nbsp;,172
2574,47,40.2,45.7,0.05,0.05,Estimated ,N ,Armenia,Europe,T-,20,67,356,44,5,20,48,8.9,18,7.5,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VDMc  ,&nbsp;,172
6240,GC03  ,19.7,-113.6,0.05,&nbsp;,Estimated ,N ,East Pacific Rise,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,18.1,0.4,2,&nbsp;,volcanic  ,Glass ,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,503
9160,flow 11,19.67,-155,0.05,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,2,19,&nbsp;,&nbsp;,&nbsp;,1,38.3,&nbsp;,&nbsp;,9.5,Volcanic  ,Basalt,Lava flow ,Magnetite ,"Same flows as HSDP1, REF 139  ","HSDP2, Hawaii",680
1400,FLY,50.08,7.02,0.06,0.03,Ar-Ar ,N ,Germany,Europe,T+,8,64,5,612.5,2,6,62,2.7,4,10.1,Volcanic  ,&nbsp;,Lava Flow ,"Ti-poor TiMa,Tc appr.  5608C, ","Age updated according to Singer et al. (2008, PEPI 169, 28-40)",&nbsp;,97
1428,1,37.8,14.9,0.06,0.01,K-Ar  ,N ,Italy ,Europe,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,4,50.5,13.3,26,8.7,Volcanic  ,Basalt,Lava Flow ,"Ti-rich+Ti-poor TiMa,low temp. oxidation,  Qn&lt;9.5  ",VADM  ,&nbsp;,99
1571,3/2/89,9.55,-104.2,0.06,0,U-Pb  ,N ,&nbsp;,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,7692,0.6,1,15.6,&nbsp;,&nbsp;,3.9,Volcanic  ,Basalt,Chilled margin  ,&nbsp;,VADM  ,&nbsp;,111
1574,2489-9,9.55,-104.2,0.06,0,U-Pb  ,N ,&nbsp;,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,370,2.4,2,12.5,0.4,3,3.1,Volcanic  ,Basalt,Chilled margin  ,&nbsp;,VADM  ,&nbsp;,111
2712,SOH-4 Flow 157  ,19.28,-155,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,28.5,&nbsp;,&nbsp;,&nbsp;,1,29.1,&nbsp;,&nbsp;,6.6,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2713,SOH-4 Flow 158  ,19.28,-155,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,4,23.3,&nbsp;,&nbsp;,&nbsp;,2,20.2,2.6,13,4.6,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2714,SOH-4 Flow 159  ,19.28,-155,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,24.4,&nbsp;,&nbsp;,&nbsp;,2,25.9,2.1,8,5.9,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2715,SOH-4 Flow 160  ,19.28,-155,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,4,22.6,&nbsp;,&nbsp;,&nbsp;,2,16.4,3.7,23,3.7,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2716,SOH-4 Flow 164  ,19.28,-155,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,7,24.4,&nbsp;,&nbsp;,&nbsp;,4,28.2,4.9,17,6.4,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2717,SOH-4 Flow 166  ,19.28,-155,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,4,31.8,&nbsp;,&nbsp;,&nbsp;,2,23.2,4.2,18,5.3,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2718,SOH-4 Flow 167  ,19.28,-155,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,24.4,&nbsp;,&nbsp;,&nbsp;,1,19.8,&nbsp;,&nbsp;,4.5,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2719,SOH-4 Flow 168  ,19.28,-155,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,5,26.1,&nbsp;,&nbsp;,&nbsp;,2,27.2,8,29,6.2,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2720,SOH-4 Flow 170  ,19.28,-155,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,31.5,&nbsp;,&nbsp;,&nbsp;,3,23,6.2,27,5.2,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2721,SOH-4 Flow 171  ,19.28,-155,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,5,36,&nbsp;,&nbsp;,&nbsp;,3,25.9,1.1,4,5.9,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2722,SOH-4 Flow 172  ,19.28,-155,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,4,39.2,&nbsp;,&nbsp;,&nbsp;,3,20.9,0.7,3,4.7,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2723,SOH-4 Flow 173  ,19.28,-155,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,30.9,&nbsp;,&nbsp;,&nbsp;,3,24.1,2,8,5.5,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2724,SOH-4 Flow 174  ,19.28,-155,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,6,42.1,&nbsp;,&nbsp;,&nbsp;,4,28.5,5.9,21,6.5,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; VDMc = 6 ; supercedes ref 106  ,&nbsp;,181
1696,53,37.7,-118.9,0.06,0.01,K-Ar  ,N ,U.S.A.,North America,T+,8,37.9,332.3,1604,1.4,1,20.6,&nbsp;,&nbsp;,4.5,Volcanic  ,&nbsp;,Lava Flow ,"Ti-poor TiMa,Tc appr. 5658C, IRM, MD to PSD ",&nbsp;,&nbsp;,118
1932,27,19.75,-155.08,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,2,51.9,&nbsp;,&nbsp;,&nbsp;,2,15.3,2.4,16,2.9,Volcanic  ,&nbsp;,Lava Flow ,"TiMa, var. Ti-amount,Tc range 350-5808C, low coec.  ","VDMc, replaces ref 110  ",&nbsp;,139
1933,28,19.75,-155.08,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,57.2,&nbsp;,&nbsp;,&nbsp;,3,19.9,3.1,16,3.5,Volcanic  ,&nbsp;,Lava Flow ,"TiMa, var. Ti-amount,Tc range 350-5808C, low coec.  ","VDMc, replaces ref 110  ",&nbsp;,139
2782,Kumliscixe  ,42.45,44.48,0.06,&nbsp;,K-Ar  ,N ,Georgia,Europe,T-,4,54,352,40,5.8,1,26.6,&nbsp;,&nbsp;,4.9,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VDMc  ,&nbsp;,187
6247,GC14  ,19.7,-113.7,0.06,&nbsp;,Estimated ,N ,East Pacific Rise,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,19.7,&nbsp;,&nbsp;,&nbsp;,volcanic  ,Glass ,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,503
6248,GC16  ,19.7,-113.7,0.06,&nbsp;,Estimated ,N ,East Pacific Rise,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,4.2,&nbsp;,&nbsp;,&nbsp;,volcanic  ,Glass ,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,503
6256,GC28  ,19.7,-113.6,0.06,&nbsp;,Estimated ,N ,East Pacific Rise,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,4,12,0.8,6,&nbsp;,volcanic  ,Glass ,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,503
6282,GC58  ,17.4,-113.2,0.06,&nbsp;,Estimated ,N ,East Pacific Rise,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,4,24.2,2.3,9,&nbsp;,volcanic  ,Glass ,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,503
6295,GC72  ,17.4,-113.2,0.06,&nbsp;,Estimated ,N ,East Pacific Rise,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,40.8,0.5,1,&nbsp;,volcanic  ,Glass ,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,503
8073,Hampton Park,-36.95,174.89,0.06,&nbsp;,K-Ar  ,T ,New Zealand ,Pacific Ocean,LTD-DHT-S ,18,-36.4,260.4,161.1,2.6,6,9.5,1.2,12,2.1,Volcanic  ,Basalt,Lava Flow ,titanomagnetite ,&nbsp;,Auckland Volcanic Field ,605
8526,mc13  ,-77.64,166.41,0.06,0.01,Ar-Ar ,N ,Antarctica  ,Antarctica  ,T+,8,-71.6,117,123,5,3,28.8,3.3,11,4.2,Volcanic  ,&nbsp;,Lava flow ,&nbsp;,"VADM=(3,78+-0,43)x10^22 Am^2  ","McMurdo Sound, Antarctica ",639
8528,mc28  ,-78.29,164.73,0.06,0.01,Ar-Ar ,N ,Antarctica  ,Antarctica  ,T+,6,-82.1,92,188,4.9,2,7.2,1.4,19,1,Volcanic  ,&nbsp;,Lava flow ,&nbsp;,"VADM=(0,94+-0,18)x10^22 Am^2  ","McMurdo Sound, Antarctica ",639
8970,mc225 ,-77.58,166.8,0.06,0.01,Ar-Ar ,N ,Antarctica  ,Antarctica  ,T+,&nbsp;,-74.6,114.3,952.3,1.7,4,28.6,3.1,10,4.1,Volcanic  ,Basalt,Lava flow ,Magnetite and Hematite mix,VDMc  ,"Erebus Volcanic Province, Ross Island, Antartica",663
9022,EG,21.2,-104.47,0.06,0.01,Ar-Ar ,N ,Mexico,North America,MSPDp ,15,51,330.7,52.2,5.3,9,42,5,11,8,Volcanic  ,Basalt,Lava flow ,Titanomagnetite ,&nbsp;,"Trans-mexican Volcanic belt, Central Mexico ",666
9161,flow 12,19.67,-155,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,18.7,&nbsp;,&nbsp;,&nbsp;,3,39.4,6.9,17,9.8,Volcanic  ,Basalt,Lava flow ,Magnetite ,"Same flows as HSDP1, REF 139  ","HSDP2, Hawaii",680
9162,flow 14,19.67,-155,0.06,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,15.8,&nbsp;,&nbsp;,&nbsp;,3,21.9,3.9,17,5.5,Volcanic  ,Basalt,Lava flow ,Magnetite ,"Same flows as HSDP1, REF 139  ","HSDP2, Hawaii",680
9369,MC24  ,45.87,3.06,0.06,&nbsp;,Thermoluminescence  ,N ,France,Europe,T+,9,63.2,331.2,108,5,6,52.2,11.6,22,8.6,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VDM,"Volvic 1, Massif Central, France  ",688
1429,2,37.8,14.9,0.07,0,K-Ar  ,N ,Italy ,Europe,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,45,&nbsp;,&nbsp;,8,Volcanic  ,Basalt,Lava Flow ,"Ti-rich+Ti-poor TiMa,low temp. oxidation,  Qn&lt;9.5  ",VADM  ,&nbsp;,99
1520,RE02  ,-21,55.5,0.07,0,K-Ar  ,N ,La Reunion  ,Indian Ocean,T+,3,-42,8.7,15,33.6,2,16.4,1.6,10,3.7,Volcanic  ,&nbsp;,Lava Flow ,"Ti-rich+Ti-poor TiMa,Tc appr. 2508C , 5808C, PSD",&nbsp;,&nbsp;,109
1521,RE04  ,-21,55.5,0.07,&nbsp;,Estimated ,N ,La Reunion  ,Indian Ocean,T+,3,-38.4,-7.5,91,13,1,45.6,&nbsp;,&nbsp;,9.9,Volcanic  ,&nbsp;,Lava Flow ,"Ti-rich+Ti-poor TiMa,Tc appr. 2508C , 5808C, PSD",&nbsp;,&nbsp;,109
1522,RE04bis,-21,55.5,0.07,&nbsp;,Estimated ,N ,La Reunion  ,Indian Ocean,T+,5,-36.4,-12.1,376,3.5,1,47,&nbsp;,&nbsp;,10.9,Volcanic  ,&nbsp;,Lava Flow ,"Ti-rich+Ti-poor TiMa,Tc appr. 2508C , 5808C, PSD",VDMc = 10.4 ,&nbsp;,109
1570,2489-12,9.55,-104.2,0.07,0,U-Pb  ,N ,&nbsp;,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,7160,0.7,4,8.5,0.2,2,2.1,Volcanic  ,Basalt,Chilled margin  ,&nbsp;,VADM  ,&nbsp;,111
2725,SOH-4 Flow 177  ,19.28,-155,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,14,41.1,&nbsp;,&nbsp;,&nbsp;,10,23.9,5.5,23,5.4,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2726,SOH-4 Flow 178  ,19.28,-155,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,35.2,&nbsp;,&nbsp;,&nbsp;,1,24.3,&nbsp;,&nbsp;,5.5,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2727,SOH-4 Flow 179  ,19.28,-155,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,31.4,&nbsp;,&nbsp;,&nbsp;,3,24.6,2.2,9,5.6,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2728,SOH-4 Flow 180  ,19.28,-155,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,4,30.8,&nbsp;,&nbsp;,&nbsp;,3,20,3.9,20,4.5,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2729,SOH-4 Flow 181  ,19.28,-155,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,38.4,&nbsp;,&nbsp;,&nbsp;,3,29.9,10.8,36,6.8,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2730,SOH-4 Flow 182  ,19.28,-155,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,6,52.1,&nbsp;,&nbsp;,&nbsp;,1,24.1,&nbsp;,&nbsp;,5.5,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; VDMc = 4.6 ; supercedes ref 106  ,&nbsp;,181
2731,SOH-4 Flow 183  ,19.28,-155,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,4,48.2,&nbsp;,&nbsp;,&nbsp;,4,19.6,3.8,19,4.5,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; VDMc = 3.9 ; supercedes ref 106  ,&nbsp;,181
2732,SOH-4 Flow 184  ,19.28,-155,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,38,&nbsp;,&nbsp;,&nbsp;,1,33,&nbsp;,&nbsp;,7.5,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2733,SOH-4 Flow 185  ,19.28,-155,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,4,35.8,0.8,2,8.1,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2734,SOH-4 Flow 186  ,19.28,-155,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,48.2,&nbsp;,&nbsp;,&nbsp;,1,16,&nbsp;,&nbsp;,3.6,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2735,SOH-4 Flow 187  ,19.28,-155,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,34.6,&nbsp;,&nbsp;,&nbsp;,3,21,1.4,7,4.8,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2736,SOH-4 Flow 188  ,19.28,-155,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,29.2,&nbsp;,&nbsp;,&nbsp;,2,33,0.1,0,7.5,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; supercedes ref 106 ,&nbsp;,181
2737,SOH-4 Flow 190  ,19.28,-155,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,6,20,&nbsp;,&nbsp;,&nbsp;,4,23.8,3.8,16,5.4,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VADM ; VDMc = 5.9 ; supercedes ref 106  ,&nbsp;,181
1741,VU12  ,38.4,15.3,0.07,0.01,Stratigraphy,N ,Italy ,Europe,T+,2,32.9,14,&nbsp;,&nbsp;,2,31,6.4,21,7.1,Volcanic  ,&nbsp;,Lava Flow ,"mostly Ti-poor TiMa,Tc 540-5908C, PSD ",&nbsp;,&nbsp;,121
1934,29,19.75,-155.08,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,35.9,&nbsp;,&nbsp;,&nbsp;,3,15,1.9,13,3.3,Volcanic  ,&nbsp;,Lava Flow ,"TiMa, var. Ti-amount,Tc range 350-5808C, low coec.  ","VDMc, replaces ref 110  ",&nbsp;,139
1935,30,19.75,-155.08,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,3,43.1,&nbsp;,&nbsp;,&nbsp;,3,14,1,7,2.9,Volcanic  ,&nbsp;,Lava Flow ,"TiMa, var. Ti-amount,Tc range 350-5808C, low coec.  ","VDMc, replaces ref 110  ",&nbsp;,139
2818,Tammar 166  ,21.65,-45.27,0.07,&nbsp;,Estimated ,O ,&nbsp;,Atlantic Ocean  ,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,37.7,&nbsp;,&nbsp;,8.2,Volcanic  ,Basalt,Pillow,&nbsp;,VADM  ,&nbsp;,191
3070,OT24  ,35.87,137.55,0.07,0.01,K-Ar  ,N ,Japan ,Asia  ,T+,7,57,358.4,&nbsp;,1.4,3,47.3,11.9,25,8.4,Sedimentary ,Andesite  ,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,207
3073,OT37  ,35.9,137.53,0.07,0.01,K-Ar  ,N ,Japan ,Asia  ,T+,6,71.5,342.5,&nbsp;,5,1,25.4,&nbsp;,&nbsp;,3.8,Sedimentary ,Andesite  ,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,207
6281,GC57  ,17.4,-113.2,0.07,&nbsp;,Estimated ,N ,East Pacific Rise,Pacific Ocean,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,3,10,1.4,14,&nbsp;,volcanic  ,Glass ,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,503
8525,mc09  ,-77.55,166.2,0.07,0.02,Ar-Ar ,N ,Antarctica  ,Antarctica  ,T+,8,-82.7,258,220,3.7,2,27.5,0.6,2,3.6,Volcanic  ,&nbsp;,Lava flow ,&nbsp;,"VADM=(3,61+-0,8)x10^22 Am^2","McMurdo Sound, Antarctica ",639
8963,mc200 ,-77.55,166.16,0.07,0.01,Ar-Ar ,N ,Antarctica  ,Antarctica  ,T+,&nbsp;,-83.7,296.8,389.6,3.9,3,14.3,1.2,8,1.9,Volcanic  ,Basalt,Lava flow ,Magnetite and Hematite mix,VDMc  ,"Erebus Volcanic Province, Ross Island, Antartica",663
9052,UZ31  ,32.74,130.3,0.07,0,K-Ar  ,N ,Japan ,Asia  ,LTD-DHT-S ,9,46,22.9,42.2,8.8,6,28,6,21,5.7,Volcanic  ,Felsic-Intermediate ,Lava flow ,Titanomagnetite ,Not used within study as Standard deviation of samples exceeds 15% ,"Unzen Volcano, Japan",667
9086,UZ30  ,32.73,130.3,0.07,0,K-Ar  ,O ,Japan ,Asia  ,LTD-DHT-S ,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,5,32.8,6.6,20,8.5,Volcanic  ,Felsic-Intermediate ,Lava flow ,Titanomagnetite ,Not used within study as Standard deviation of samples exceeds 15% ,"Unzen Volcano, Japan",667
9163,flow 15,19.67,-155,0.07,&nbsp;,Estimated ,N ,Hawaii,Pacific Ocean,T+,2,23.7,&nbsp;,&nbsp;,&nbsp;,2,28.4,&nbsp;,&nbsp;,6.9,Volcanic  ,Basalt,Lava flow ,Magnetite ,"Same flows as HSDP1, REF 139  ","HSDP2, Hawaii",680
9370,MC37  ,45.85,3.02,0.07,0.01,Thermoluminescence  ,N ,France,Europe,T+,6,52.5,355.6,23,14.3,1,17.7,&nbsp;,&nbsp;,3.3,Volcanic  ,Basalt,Lava Flow ,&nbsp;,VDM,"Mas d&#39;Argnat, Massif Central, France",688
248,RA01  ,-21,55.5,0.08,0.01,K-Ar  ,N ,La Reunion  ,Indian Ocean,T+,3,-45.2,7.8,68,15,2,36.4,4.5,12,7.4,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,26
249,RA02  ,-21,55.5,0.08,&nbsp;,Estimated ,N ,La Reunion  ,Indian Ocean,T+,3,-48.5,1.5,249,7.8,1,32.8,&nbsp;,&nbsp;,6.5,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,26
250,RA03  ,-21,55.5,0.08,&nbsp;,Estimated ,N ,La Reunion  ,Indian Ocean,T+,3,-43.4,1.3,116,11.5,5,31.9,6.3,20,6.6,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,26
251,RA04  ,-21,55.5,0.08,&nbsp;,Estimated ,N ,La Reunion  ,Indian Ocean,T+,4,-64.8,352,136,7.9,2,55,6.6,12,8.8,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,26
252,RA05  ,-21,55.5,0.08,&nbsp;,Estimated ,N ,La Reunion  ,Indian Ocean,T+,3,-63.9,353.1,25,25.2,3,54.2,9.5,18,8.8,Volcanic  ,&nbsp;,Lava Flow ,&nbsp;,&nbsp;,&nbsp;,26
1430,4,37.8,14.9,0.08,0,K-Ar  ,N ,Italy ,Europe,T+,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,3,15.2,1.7,11,2.7,Volcanic  ,Basalt,Lava Flow ,"Ti-rich+Ti-poor TiMa,low temp. oxidation,  Qn&lt;9.5  ",VADM  ,&nbsp;,99
