UID,OLD_DATA,REF,IDENT,SLAT,SLONG,AGE,DAGE,AGEMTD,CONTINENT,REPLOC,INTM,P,NDIR,INC,DEC,K,A95,NINT,B,DB,DB%,DBN (%),VDM/VADM,VDM,VADM,GROUP,TYPE,FORM,ROCKMAG,COMMENTS,LOCATION NAME,QAGE,QSTAT,QTRM,QALT,QMD,QACN,QTECH,QLITH,QMAG,QDIR,QPI
2070,2706,181,SOH-4 Flow 149,19.28,205,0.0506,,Estimated,Pacific Ocean,Hawaii,T+,N,2,18.1,,,,1,15.6,,,,3.5,3.885350044,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2071,2706,181,SOH-4 Flow 150,19.28,205,0.0513,,Estimated,Pacific Ocean,Hawaii,T+,N,4,18.7,,,,2,13.9,1.2,8.633093525,17.04299394,3.1,3.453156238,3.1,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 107,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2072,2707,181,SOH-4 Flow 150,19.28,205,0.0513,,Estimated,Pacific Ocean,Hawaii,T+,N,4,18.7,,,,2,13.9,1.2,9,17.04299394,3.1,3.453156238,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
3613,9160,680,flow 11,19.67,205,0.0514,,Interpolation,Pacific Ocean,Hawaii,T+,N,2,19,,,,1,38.3,,,,,9.502424703,,Volcanic,Basalt,Lava flow,Magnetite,"Same flows as HSDP1, REF 139","HSDP2, Hawaii",0,0,0,1,1,0,0,0,0,0,2
2073,2706,181,SOH-4 Flow 151,19.28,205,0.0519,,Estimated,Pacific Ocean,Hawaii,T+,N,6,25,,,,2,18.2,1.7,9.340659341,18.46272347,4.1,4.37990329,4.1,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 108,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2074,2708,181,SOH-4 Flow 151,19.28,205,0.0519,,Estimated,Pacific Ocean,Hawaii,T+,N,6,25,,,,2,18.2,1.7,9,18.46272347,4.1,4.37990329,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2075,2706,181,SOH-4 Flow 152,19.28,205,0.0526,,Estimated,Pacific Ocean,Hawaii,T+,N,4,29.8,,,,4,18.4,1.3,7.065217391,11.44462299,4.2,4.294931062,4.2,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 109,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2076,2709,181,SOH-4 Flow 152,19.28,205,0.0526,,Estimated,Pacific Ocean,Hawaii,T+,N,4,29.8,,,,4,18.4,1.3,7,11.44462299,4.2,4.294931062,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2426,6240,503,GC03,19.7,246.4,0.05263104,,Estimated,Pacific Ocean,East Pacific Rise,T+,N,,,,,,2,18.1,0.4,2,4.333465934,,,,volcanic,Glass,Lava Flow,,,,0,0,0,1,0,0,0,0,0,0,1
2077,2706,181,SOH-4 Flow 153,19.28,205,0.0532,,Estimated,Pacific Ocean,Hawaii,T+,N,3,24.9,,,,2,29.5,5.4,18.30508475,37.09072312,6.7,7.103396537,6.7,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 110,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2078,2710,181,SOH-4 Flow 153,19.28,205,0.0532,,Estimated,Pacific Ocean,Hawaii,T+,N,3,24.9,,,,2,29.5,5.4,18,37.09072312,6.7,7.103396537,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2079,2706,181,SOH-4 Flow 155,19.28,205,0.0545,,Estimated,Pacific Ocean,Hawaii,T+,N,4,26.6,,,,2,20.3,,,,4.6,4.838767515,4.6,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 112,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2080,2711,181,SOH-4 Flow 155,19.28,205,0.0545,,Estimated,Pacific Ocean,Hawaii,T+,N,4,26.6,,,,2,20.3,0,0,,4.6,4.838767515,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2911,,605,Hampton park,-36.95,174.89,0.055,0.005,K-Ar,Pacific Ocean,New Zealand,LTD-DHT-S,T,18,-36.4,260.4,177.7357715,2.6,6,9.5,1.2,12.63157895,18.97373901,,2.107429351,,Volcanic,Basalt,Lava Flow,titanomagnetite,estimated k,Auckland Volcanic Field,1,1,1,1,1,0,0,0,0,1,6
3197,8526,639,mc13,-77.64,166.41,0.055,0.01,Ar/Ar,Antarctica,Antarctica,T+,N,8,-71.6,117,123,5,3,28.8,3.3,11,20.05194249,,4.243983217,,Volcanic,,Lava flow,,"VADM=(3,78+-0,43)x10^22 Am^2","McMurdo Sound, Antarctica",1,0,0,1,1,0,0,0,1,1,5
3614,9161,680,flow 12,19.67,205,0.0554,,Interpolation,Pacific Ocean,Hawaii,T+,N,3,18.7,,,,3,39.4,6.9,17,31.11027786,,9.788083151,,Volcanic,Basalt,Lava flow,Magnetite,"Same flows as HSDP1, REF 139","HSDP2, Hawaii",0,0,0,1,1,0,0,0,0,0,2
4124,,717,T25-28,-35.08333333,347.7166667,0.05545,0.0137,Ar/Ar,Atlantic Ocean,Tristan da Cunha,T+,N,8,-61.6,21.5,168,4.2859,7,24,4,16.66666667,24.5121,4.3,4.020543884,,Volcanic,Basanitic/Tephritic,Lava Flow,,"Directional Groups taken together, kappa read in as k,  a95 calculated in matlab",Tristan da Cunha,1,1,0,1,1,0,0,0,0,1,5
1492,1932,139,27,19.75,204.917,0.0555,,Interpolation,Pacific Ocean,Hawaii,T+,N,2,51.9,,,,2,15.3,2.4,16,31.49786207,,2.895437794,,Volcanic,,Lava Flow,"TiMa, var. Ti-amount,Tc range 350-580∞C, low coec.","updated age model uncertainty referenced in ref 680 supercedes age data here; VDMc, replaces ref 110",,0,0,0,1,0,0,0,0,0,0,1
2081,2706,181,SOH-4 Flow 157,19.28,205,0.0558,,Estimated,Pacific Ocean,Hawaii,T+,N,3,28.5,,,,1,29.1,,,,6.6,6.852607085,6.6,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 114,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2082,2712,181,SOH-4 Flow 157,19.28,205,0.0558,,Estimated,Pacific Ocean,Hawaii,T+,N,3,28.5,,,,1,29.1,,,,6.6,6.852607085,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2427,6295,503,GC72,17.4,246.8,0.056467752,,Estimated,Pacific Ocean,East Pacific Rise,T+,N,,,,,,2,40.8,0.5,1,2.402286792,,,,volcanic,Glass,Lava Flow,,,,0,0,0,1,0,0,0,0,0,0,1
2083,2706,181,SOH-4 Flow 158,19.28,205,0.0565,,Estimated,Pacific Ocean,Hawaii,T+,N,4,23.3,,,,2,20.2,2.6,12.87128713,25.63848538,4.6,4.907613703,4.6,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 115,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2084,2713,181,SOH-4 Flow 158,19.28,205,0.0565,,Estimated,Pacific Ocean,Hawaii,T+,N,4,23.3,,,,2,20.2,2.6,13,25.63848538,4.6,4.907613703,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2428,6247,503,GC14,19.7,246.3,0.057094857,,Estimated,Pacific Ocean,East Pacific Rise,T+,N,,,,,,1,19.7,,,,,,,volcanic,Glass,Lava Flow,,,,0,0,0,1,0,0,0,0,0,0,1
2085,2706,181,SOH-4 Flow 159,19.28,205,0.0571,,Estimated,Pacific Ocean,Hawaii,T+,N,3,24.4,,,,2,25.9,2.1,8.108108108,15.99290611,5.9,6.254361077,5.9,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 116,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2086,2714,181,SOH-4 Flow 159,19.28,205,0.0571,,Estimated,Pacific Ocean,Hawaii,T+,N,3,24.4,,,,2,25.9,2.1,8,15.99290611,5.9,6.254361077,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2087,2706,181,SOH-4 Flow 160,19.28,205,0.0578,,Estimated,Pacific Ocean,Hawaii,T+,N,4,22.6,,,,1,13.8,,,,3.1,3.365199893,3.1,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 117,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2088,2715,181,SOH-4 Flow 160,19.28,205,0.0578,,Estimated,Pacific Ocean,Hawaii,T+,N,4,22.6,,,,2,16.4,3.7,23,46.55283021,3.7,3.999223061,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2089,2706,181,SOH-4 Flow 164,19.28,205,0.0588,,Estimated,Pacific Ocean,Hawaii,T+,N,7,24.4,,,,4,28.2,4.9,17.37588652,28.67475303,6.4,6.809767659,6.4,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 121,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2090,2716,181,SOH-4 Flow 164,19.28,205,0.0588,,Estimated,Pacific Ocean,Hawaii,T+,N,7,24.4,,,,4,28.2,4.9,17,28.67475303,6.4,6.809767659,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2091,2706,181,SOH-4 Flow 166,19.28,205,0.0596,,Estimated,Pacific Ocean,Hawaii,T+,N,4,31.8,,,,2,23.2,4.2,18.10344828,36.6545487,,5.338283052,5.3,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 123,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2092,2717,181,SOH-4 Flow 166,19.28,205,0.0596,,Estimated,Pacific Ocean,Hawaii,T+,N,4,31.8,,,,2,23.2,4.2,18,36.6545487,,5.338283052,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2172,2782,187,Kumliscixe,42.45,44.48,0.06,,K-Ar,Europe,Georgia,T-,N,4,54,352,40,5.8,1,26.6,,,,,4.908106132,,Volcanic,Basalt,Lava Flow,,VDMc,,0,0,0,0,0,0,0,0,0,0,0
3198,8528,639,mc28,-78.29,164.73,0.06,0.006,Ar/Ar,Antarctica,Antarctica,T+,N,6,-82.1,92,188,4.9,2,7.2,1.4,19,39.57445013,,0.95696405,,Volcanic,,Lava flow,,"VADM=(0,94+-0,18)x10^22 Am^2","McMurdo Sound, Antarctica",1,0,0,1,0,0,0,0,1,1,4
3405,8970,663,mc225,-77.581,166.802,0.06,0.01,Ar/Ar,Antarctica,Antarctica,T+,N,9,-74.6,114.3,952.3,1.7,4,28.6,3.1,10,17.6449254,,4.070346147,,Volcanic,Basalt,Lava flow,Magnetite and Hematite mix,VDMc; estimated NDIR,"Erebus Volcanic Province, Ross Island, Antartica",1,0,0,1,1,1,0,0,1,1,6
2429,6282,503,GC58,17.4,246.8,0.060094116,,Estimated,Pacific Ocean,East Pacific Rise,T+,N,,,,,,4,24.2,2.3,9,15.44086483,,,,volcanic,Glass,Lava Flow,,,,0,0,0,1,0,0,0,0,0,0,1
2093,2706,181,SOH-4 Flow 167,19.28,205,0.0601,,Estimated,Pacific Ocean,Hawaii,T+,N,3,24.4,,,,1,19.8,,,,4.5,4.781326228,4.5,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 124,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2094,2718,181,SOH-4 Flow 167,19.28,205,0.0601,,Estimated,Pacific Ocean,Hawaii,T+,N,3,24.4,,,,1,19.8,,,,4.5,4.781326228,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
3972,,707,A15,64.20183,340.94436,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,7,19.03,0.73,3.83,5.5615,2.66,,,Volcanic,glassy,Pillow margin,,,,0,1,0,1,1,0,0,0,1,0,4
3973,,707,A24,64.673,342.23389,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,4,62.19,5.03,8.09,13.1164,8.66,,,Volcanic,glassy,Pillow margin,,,,0,0,0,1,1,0,0,0,1,0,3
3974,,707,A26,64.69231,342.10347,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,3,40.1,2.83,7.05,12.2659,5.58,,,Volcanic,glassy,Pillow margin,,,,0,0,0,1,1,0,0,0,1,0,3
3975,,707,A28,63.97414,341.20781,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,4,31.19,1.87,5.98,9.7019,4.36,,,Volcanic,glassy,Pillow margin,,,,0,0,0,1,1,0,0,0,1,0,3
3976,,707,A30,64.06139,341.466,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,3,29.09,0.65,2.25,3.869,4.06,,,Volcanic,glassy,Pillow margin,,,,0,0,0,1,1,0,0,0,1,0,3
3977,,707,A31,64.11031,341.53842,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,3,59.5,0.59,0.99,1.7164,8.31,,,Volcanic,glassy,Pillow margin,,,,0,0,0,1,1,0,0,0,1,0,3
3978,,707,A34,64.08778,340.94583,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,8,30.67,1.11,3.61,5.1339,4.28,,,Volcanic,glassy,Pillow margin,,,,0,1,0,1,1,0,0,0,1,0,4
3979,,707,A35,64.17217,340.86147,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,5,12.84,0.85,6.59,10.2245,1.79,,,Volcanic,glassy,Pillow margin,,,,0,1,0,1,1,0,0,0,1,0,4
3980,,707,A8,64.72322,340.38536,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,5,78.45,2.22,2.83,4.3605,10.9,,,Volcanic,glassy,Pillow margin,,,,0,1,0,1,1,0,0,0,1,0,4
3981,,707,ICE08R-14,64.24325,341.41731,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,6,28.58,0.21,0.72,1.0934,3.99,,,Volcanic,glassy,Pillow margin,,,,0,1,0,1,1,0,0,0,1,0,4
3982,,707,ICE08R-15,64.82736,342.2445,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,3,33.06,1.9,5.75,9.9747,4.6,,,Volcanic,glassy,Pillow margin,,,,0,0,0,1,1,0,0,0,1,0,3
3983,,707,ICE08R-23,64.32217,341.5395,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,3,36.1,3.77,10.44,18.2412,5.04,,,Volcanic,glassy,Pillow margin,,,,0,0,0,1,1,0,0,0,1,0,3
3984,,707,ICE08R-24,64.3205,341.56739,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,3,35.24,3.22,9.13,15.9259,4.92,,,Volcanic,glassy,Pillow margin,,,,0,0,0,1,1,0,0,0,1,0,3
3985,,707,KVK117,64.867,343.65,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,7,25.94,1,3.81,5.5891,3.61,,,Volcanic,glassy,Pillow margin,,,,0,1,0,1,1,0,0,0,1,0,4
3986,,707,KVK77,64.81667,343.51667,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,6,20.29,3.18,15.69,23.6625,2.82,,,Volcanic,glassy,Pillow margin,,Age assigned to Early/late Weichsel transition per ref,,0,1,0,1,1,0,0,0,1,0,4
3987,,707,NAL-356,65.033,343.767,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,7,34.8,1.9,5.45,7.9221,4.83,,,Volcanic,glassy,Pillow margin,,,,0,1,0,1,1,0,0,0,1,0,4
3988,,707,NAL-500,64.78061,342.48869,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,4,30.79,1.41,4.59,7.4023,4.28,,,Volcanic,glassy,Pillow margin,,,,0,0,0,1,1,0,0,0,1,0,3
3989,,707,NAL-584,65.16169,343.07569,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,6,35.3,3.55,10.07,15.0538,4.9,,,Volcanic,glassy,Pillow margin,,,,0,1,0,1,1,0,0,0,1,0,4
3990,,707,NAL-595,61.78994,342.81769,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,7,62.38,5.33,8.55,12.427,8.68,,,Volcanic,glassy,Pillow margin,,,,0,1,0,1,1,0,0,0,1,0,4
3991,,707,NAL-611,64.79844,342.79967,0.0605,0.099,Stratigraphy,Atlantic Ocean,Iceland,T+,N,,,,,,14,57.62,4.59,7.97,10.4723,8.02,,,Volcanic,glassy,Pillow margin,,,,0,1,0,1,1,0,0,0,1,0,4
2095,2706,181,SOH-4 Flow 168,19.28,205,0.0606,,Estimated,Pacific Ocean,Hawaii,T+,N,5,26.1,,,,2,27.2,8,29.41176471,63.12856618,6.2,6.50330577,6.2,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 125,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2096,2719,181,SOH-4 Flow 168,19.28,205,0.0606,,Estimated,Pacific Ocean,Hawaii,T+,N,5,26.1,,,,2,27.2,8,29,63.12856618,6.2,6.50330577,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2430,6248,503,GC16,19.7,246.3,0.060848559,,Estimated,Pacific Ocean,East Pacific Rise,T+,N,,,,,,1,4.2,,,,,,,volcanic,Glass,Lava Flow,,,,0,0,0,1,0,0,0,0,0,0,1
2097,2706,181,SOH-4 Flow 169,19.28,205,0.0609,,Estimated,Pacific Ocean,Hawaii,T+,N,2,18.1,,,,1,15.6,,,,,3.885350044,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 126,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
1241,1574,111,2489-9,9.55,255.8,0.061,0.003,U-Pb,Pacific Ocean,,T+,N,,,,370,2.4,2,12.5,0.4,3,6.27806172,3.1,,3.106729949,Volcanic,Basalt,Chilled margin,,VADM,,1,0,0,1,0,0,0,0,0,0,2
1493,1933,139,28,19.75,204.917,0.0611,,Interpolation,Pacific Ocean,Hawaii,T+,N,3,57.2,,,,3,19.9,3.1,16,27.52100378,,3.528291642,,Volcanic,,Lava Flow,"TiMa, var. Ti-amount,Tc range 350-580∞C, low coec.","updated age model uncertainty referenced in ref 680 supercedes age data here; VDMc, replaces ref 110",,0,0,0,1,0,0,0,0,0,0,1
1148,1428,99,1,37.8,14.9,0.0612,0.005,K-Ar,Europe,Italy,T+,N,,,,,,4,50.5,13.3,26,44.77353251,8.7,,,Volcanic,Basalt,Lava Flow,"Ti-rich+Ti-poor TiMa,low temp. oxidation,  Qn<9.5",VADM,Mt. Etna,1,0,0,1,0,0,0,0,0,0,2
2098,2706,181,SOH-4 Flow 170,19.28,205,0.0613,,Estimated,Pacific Ocean,Hawaii,T+,N,3,31.5,,,,3,23,6.2,26.95652174,49.70837434,5.2,5.303975598,5.2,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 127,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2099,2720,181,SOH-4 Flow 170,19.28,205,0.0613,,Estimated,Pacific Ocean,Hawaii,T+,N,3,31.5,,,,3,23,6.2,27,49.70837434,5.2,5.303975598,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2100,2706,181,SOH-4 Flow 171,19.28,205,0.0616,,Estimated,Pacific Ocean,Hawaii,T+,N,5,36,,,,3,25.9,1.1,4.247104247,7.362033547,5.9,5.764968217,5.9,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 128,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2101,2721,181,SOH-4 Flow 171,19.28,205,0.0616,,Estimated,Pacific Ocean,Hawaii,T+,N,5,36,,,,3,25.9,1.1,4,7.362033547,5.9,5.764968217,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2102,2706,181,SOH-4 Flow 172,19.28,205,0.0621,,Estimated,Pacific Ocean,Hawaii,T+,N,4,39.2,,,,3,20.9,0.7,3.349282297,5.802433208,4.7,4.523175914,4.7,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 129,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2103,2722,181,SOH-4 Flow 172,19.28,205,0.0621,,Estimated,Pacific Ocean,Hawaii,T+,N,4,39.2,,,,3,20.9,0.7,3,5.802433208,4.7,4.523175914,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2104,2706,181,SOH-4 Flow 173,19.28,205,0.0625,,Estimated,Pacific Ocean,Hawaii,T+,N,3,30.9,,,,3,24.1,2,8.298755187,14.44654146,5.5,5.581911622,5.5,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 130,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2105,2723,181,SOH-4 Flow 173,19.28,205,0.0625,,Estimated,Pacific Ocean,Hawaii,T+,N,3,30.9,,,,3,24.1,2,8,14.44654146,5.5,5.581911622,,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
2106,2706,181,SOH-4 Flow 174,19.28,205,0.0629,,Estimated,Pacific Ocean,Hawaii,T+,N,6,42.9,,,,3,28.2,7.2,25.53191489,46.76239804,6.4,5.890474883,6.4,Volcanic,Basalt,Lava Flow,,VADM ; supercedes ref 131,"Core SOH-4 Pahoa, Hawaii",0,0,0,1,0,0,0,0,1,0,2
2107,2724,181,SOH-4 Flow 174,19.28,205,0.0629,,Estimated,Pacific Ocean,Hawaii,T+,N,6,42.1,,,,4,28.5,5.9,21,34.48941251,6.5,6.000541048,,Volcanic,Basalt,Lava Flow,,VADM ; VDMc = 6 ; supercedes ref 106,,0,0,0,1,1,0,0,0,0,0,2
3481,9022,666,EG,21.1969,255.528,0.063,0.007,Ar/Ar,North America,Mexico,MSP_DB,N,15,51,330.7,52.2,5.3,9,42,5,11,16.68610016,,8.03302123,,Volcanic,Basalt,Lava flow,Titanomagnetite,,"Trans-mexican Volcanic belt, Central Mexico",0,1,1,1,0,0,0,0,0,1,4
3615,9162,680,flow 14,19.67,205,0.0634,,Interpolation,Pacific Ocean,Hawaii,T+,N,3,15.8,,,,3,21.9,3.9,17,31.66386643,,5.503568389,,Volcanic,Basalt,Lava flow,Magnetite,"Same flows as HSDP1, REF 139","HSDP2, Hawaii",0,0,0,1,1,0,0,0,0,0,2
3819,9369,688,MC24,45.871,3.058,0.0634,,Thermoluminescence,Europe,France,T+,N,9,63.2,331.2,108,5,6,52.2,11.6,22,34.05270558,,8.563650835,,Volcanic,Basalt,Lava Flow,,VDM,"Volvic 1, Massif Central, France",1,0,0,1,0,0,0,0,0,1,3
1110,1400,97,FLY,50.082,7.019,0.064,0.026,Ar/Ar,Europe,Germany,T+,N,8,64,5,612.5,2,6,62,2.7,4.35483871,6.4872,,10.06543548,,Volcanic,,Lava Flow,"Ti-poor TiMa,Tc appr.  560∞C,","Age updated according to Singer et al. (2008, PEPI 169, 28-40)",,1,1,0,1,0,0,0,0,0,1,4
1242,1571,111,3/2/89,9.55,255.8,0.064,0.003,U-Pb,Pacific Ocean,,T+,N,,,,7692,0.6,1,15.6,,,,3.9,,3.877198977,Volcanic,Basalt,Chilled margin,,VADM,,1,0,0,1,0,0,0,0,0,0,2
